;TYPE;Model;BETA;J;V;Pe;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*;Dominated
516;APC MR;APC MR;0.55;0.17;15.6;0.321;0.1157;0.0595;0.479;3.016;3.686;10;0.113017658;0.056478073;0
517;APC MR;APC MR;0.55;0.19;18.2;0.3726;0.1135;0.0586;0.472;2.973;3.615;10;0.110797323;0.056487863;0
518;APC MR;APC MR;0.55;0.22;20.8;0.4225;0.1109;0.0577;0.464;2.927;3.532;10;0.10728665;0.056317298;0
519;APC MR;APC MR;0.55;0.25;23.4;0.4703;0.1078;0.0567;0.456;2.877;3.434;10;0.103562804;0.055924433;0
520;APC MR;APC MR;0.55;0.28;26;0.5153;0.1043;0.0557;0.448;2.822;3.322;10;0.099629191;0.055309268;0
521;APC MR;APC MR;0.55;0.3;28.7;0.5563;0.1004;0.0546;0.439;2.769;3.199;10;0.09689193;0.054775658;0
522;APC MR;APC MR;0.55;0.33;31.3;0.5932;0.0962;0.0536;0.431;2.715;3.066;10;0.092616283;0.053789993;0
750;APC MR;APC MR;0.409090909;0;0;0;0.107;0.0419;0.395;2.769;4.043;11;0.102448629;0.036182151;0
751;APC MR;APC MR;0.409090909;0.02;2.1;0.0567;0.1054;0.0413;0.39;2.734;3.98;11;0.101076744;0.036818996;0
960;APC MR;APC MR;0.375;0;0;0;0.1019;0.0374;0.384;3.023;4.307;12;0.095634766;0.03249543;0
961;APC MR;APC MR;0.375;0.02;1.9;0.0568;0.1;0.0369;0.378;2.981;4.228;12;0.094260333;0.033080805;0
962;APC MR;APC MR;0.375;0.04;3.8;0.1128;0.098;0.0365;0.374;2.944;4.142;12;0.09275491;0.03356738;0
963;APC MR;APC MR;0.375;0.06;5.7;0.1673;0.0958;0.0361;0.37;2.911;4.05;12;0.091119506;0.033955155;0
1170;APC MR;APC MR;0.458333333;0;0;0;0.1128;0.0513;0.526;4.142;4.769;12;0.111941565;0.041760791;0
1171;APC MR;APC MR;0.458333333;0.02;2.2;0.0535;0.1114;0.0503;0.516;4.061;4.711;12;0.110573359;0.042471983;0
1172;APC MR;APC MR;0.458333333;0.05;4.4;0.1076;0.1099;0.0493;0.505;3.981;4.646;12;0.108299103;0.043353521;0
1173;APC MR;APC MR;0.458333333;0.07;6.6;0.1621;0.1082;0.0483;0.495;3.901;4.573;12;0.10663644;0.043817712;0
1174;APC MR;APC MR;0.458333333;0.1;8.8;0.2165;0.1062;0.0474;0.485;3.824;4.491;12;0.103925234;0.04432875;0
1175;APC MR;APC MR;0.458333333;0.12;11;0.2704;0.104;0.0464;0.476;3.747;4.396;12;0.101974428;0.044545941;0
1176;APC MR;APC MR;0.458333333;0.14;13.2;0.3232;0.1015;0.0455;0.466;3.67;4.29;12;0.099910132;0.044664333;0
1177;APC MR;APC MR;0.458333333;0.17;15.4;0.3739;0.0987;0.0446;0.457;3.6;4.172;12;0.096603103;0.044656671;0
1178;APC MR;APC MR;0.458333333;0.19;17.6;0.4216;0.0957;0.0438;0.449;3.538;4.045;12;0.0942595;0.044528062;0
1350;APC MR;APC MR;0.423076923;0;0;0;0.1031;0.0448;0.672;5.295;5.912;13;0.105193662;0.037741806;0
1351;APC MR;APC MR;0.423076923;0.02;2.2;0.0532;0.1017;0.0437;0.655;5.164;5.833;13;0.103822821;0.038399767;0
1352;APC MR;APC MR;0.423076923;0.05;4.5;0.1076;0.1002;0.0426;0.639;5.035;5.746;13;0.101534737;0.03920146;0
1353;APC MR;APC MR;0.423076923;0.07;6.7;0.1626;0.0985;0.0416;0.623;4.91;5.647;13;0.099856271;0.039612421;0
1354;APC MR;APC MR;0.423076923;0.09;9;0.2177;0.0965;0.0405;0.608;4.792;5.535;13;0.098056522;0.039924583;0
1355;APC MR;APC MR;0.423076923;0.11;11.2;0.2724;0.0943;0.0396;0.594;4.678;5.408;13;0.096136501;0.040137944;0
1356;APC MR;APC MR;0.423076923;0.14;13.5;0.3256;0.0919;0.0387;0.581;4.574;5.269;13;0.093033166;0.040272737;0
1357;APC MR;APC MR;0.423076923;0.16;15.7;0.3762;0.0893;0.038;0.57;4.487;5.119;13;0.09081688;0.040239098;0
