TYPE;Model;BETA;J_adv-ratio;V_mph;Efficiency;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*
APC MR;APC MR;0.366666667;0.23;6.7;0.4908;0.0695;0.0332;0.016;0.512;0.448;15;0.070344604;0.032245839
APC MR;APC MR;0.366666667;0.26;7.3;0.5182;0.0665;0.0328;0.016;0.505;0.429;15;0.066047111;0.031363679
APC MR;APC MR;0.366666667;0.28;7.9;0.5429;0.0633;0.0323;0.016;0.498;0.409;15;0.063031759;0.030652072
APC MR;APC MR;0.366666667;0.3;8.5;0.5649;0.0601;0.0318;0.016;0.489;0.388;15;0.0598973;0.029841665
APC MR;APC MR;0.366666667;0.32;9.1;0.5844;0.0568;0.0311;0.015;0.479;0.367;15;0.056644744;0.028932459
APC MR;APC MR;0.366666667;0.34;9.7;0.602;0.0537;0.0304;0.015;0.469;0.346;15;0.0532751;0.027924452
APC MR;APC MR;0.366666667;0.36;10.3;0.6168;0.0502;0.0295;0.014;0.454;0.324;15;0.049789379;0.026817645
APC MR;APC MR;0.366666667;0.38;10.9;0.6293;0.0466;0.0284;0.014;0.438;0.301;15;0.04618859;0.025612039
APC MR;APC MR;0.366666667;0.41;11.5;0.6396;0.0429;0.0272;0.013;0.419;0.277;15;0.040573865;0.023618379
APC MR;APC MR;0.366666667;0.43;12.1;0.6474;0.0391;0.0258;0.013;0.397;0.252;15;0.036689825;0.022165772
APC MR;APC MR;0.366666667;0.45;12.7;0.6522;0.0352;0.0241;0.012;0.372;0.227;15;0.032694253;0.020614365
APC MR;APC MR;0.366666667;0.47;13.3;0.6531;0.0311;0.0223;0.011;0.344;0.201;15;0.028588158;0.018964159
APC MR;APC MR;0.366666667;0.49;13.9;0.6487;0.027;0.0204;0.01;0.314;0.174;15;0.02437255;0.017215152
APC MR;APC MR;0.366666667;0.51;14.5;0.6368;0.0227;0.0183;0.009;0.281;0.147;15;0.020048438;0.015367345
APC MR;APC MR;0.366666667;0.53;15.1;0.6129;0.0184;0.016;0.008;0.247;0.119;15;0.015616834;0.013420739
APC MR;APC MR;0.366666667;0.55;15.7;0.5668;0.014;0.0137;0.007;0.21;0.09;15;0.011078746;0.011375332
APC MR;APC MR;0.366666667;0.58;16.4;0.4767;0.0094;0.0113;0.006;0.174;0.06;15;0.004074168;0.008121972
APC MR;APC MR;0.366666667;0.6;17;0.3119;0.0047;0.009;0.004;0.138;0.03;15;-0.00072571;0.005829565
APC MR;APC MR;0.366666667;0.62;17.6;0.0023;0;0.0067;0.003;0.103;0;15;-0.005628535;0.003438359
APC MR;APC MR;0.366666667;0;0;0;0.0951;0.0331;0.055;1.149;1.38;15;0.09394841;0.031623765
APC MR;APC MR;0.366666667;0.02;0.9;0.0594;0.0934;0.0333;0.055;1.154;1.356;15;0.092573356;0.032196559
APC MR;APC MR;0.366666667;0.04;1.8;0.1162;0.0917;0.0334;0.055;1.159;1.33;15;0.091066065;0.032670552
APC MR;APC MR;0.366666667;0.06;2.7;0.1702;0.0898;0.0335;0.055;1.162;1.303;15;0.089427547;0.033045745
APC MR;APC MR;0.366666667;0.08;3.6;0.2214;0.0877;0.0336;0.055;1.164;1.273;15;0.087658814;0.033322139
APC MR;APC MR;0.366666667;0.11;4.5;0.2699;0.0855;0.0336;0.055;1.163;1.241;15;0.084763767;0.033551479
APC MR;APC MR;0.366666667;0.13;5.4;0.3157;0.0832;0.0335;0.055;1.161;1.208;15;0.082673911;0.033580872
APC MR;APC MR;0.366666667;0.15;6.3;0.3587;0.0808;0.0334;0.055;1.157;1.172;15;0.080457373;0.033511465
APC MR;APC MR;0.366666667;0.17;7.2;0.3989;0.0782;0.0332;0.055;1.151;1.135;15;0.078115163;0.033343259
APC MR;APC MR;0.366666667;0.19;8.1;0.4364;0.0755;0.033;0.054;1.143;1.096;15;0.075648292;0.033076252
APC MR;APC MR;0.366666667;0.21;9;0.471;0.0726;0.0327;0.054;1.133;1.054;15;0.073057769;0.032710445
APC MR;APC MR;0.366666667;0.23;9.9;0.5028;0.0697;0.0323;0.053;1.12;1.011;15;0.070344604;0.032245839
APC MR;APC MR;0.366666667;0.25;10.8;0.532;0.0666;0.0319;0.053;1.104;0.967;15;0.067509806;0.031682432
APC MR;APC MR;0.366666667;0.28;11.7;0.5586;0.0635;0.0313;0.052;1.085;0.922;15;0.063031759;0.030652072
APC MR;APC MR;0.366666667;0.3;12.6;0.5825;0.0603;0.0307;0.051;1.064;0.875;15;0.0598973;0.029841665
APC MR;APC MR;0.366666667;0.32;13.5;0.6038;0.0569;0.03;0.049;1.039;0.826;15;0.056644744;0.028932459
APC MR;APC MR;0.366666667;0.34;14.5;0.6225;0.0535;0.0292;0.048;1.01;0.777;15;0.0532751;0.027924452
APC MR;APC MR;0.366666667;0.36;15.4;0.6388;0.05;0.0282;0.046;0.977;0.725;15;0.049789379;0.026817645
APC MR;APC MR;0.366666667;0.38;16.3;0.6528;0.0463;0.0271;0.045;0.938;0.672;15;0.04618859;0.025612039
APC MR;APC MR;0.366666667;0.4;17.2;0.664;0.0426;0.0258;0.043;0.894;0.618;15;0.042473744;0.024307632
APC MR;APC MR;0.366666667;0.42;18.1;0.6721;0.0387;0.0244;0.04;0.846;0.562;15;0.03864585;0.022904425
APC MR;APC MR;0.366666667;0.45;19;0.6769;0.0347;0.0228;0.038;0.791;0.504;15;0.032694253;0.020614365
APC MR;APC MR;0.366666667;0.47;19.9;0.6776;0.0307;0.0211;0.035;0.731;0.445;15;0.028588158;0.018964159
APC MR;APC MR;0.366666667;0.49;20.8;0.6724;0.0265;0.0192;0.032;0.666;0.385;15;0.02437255;0.017215152
APC MR;APC MR;0.366666667;0.51;21.7;0.6589;0.0222;0.0172;0.028;0.595;0.323;15;0.020048438;0.015367345
APC MR;APC MR;0.366666667;0.53;22.6;0.6315;0.0179;0.015;0.025;0.521;0.26;15;0.015616834;0.013420739
APC MR;APC MR;0.366666667;0.55;23.5;0.5798;0.0135;0.0129;0.021;0.446;0.196;15;0.011078746;0.011375332
APC MR;APC MR;0.366666667;0.57;24.4;0.4859;0.0091;0.0107;0.018;0.37;0.132;15;0.006435185;0.009231125
APC MR;APC MR;0.366666667;0.59;25.3;0.317;0.0045;0.0085;0.014;0.295;0.066;15;0.001687161;0.006988119
APC MR;APC MR;0.366666667;0.61;26.2;0.0037;0;0.0064;0.011;0.221;0.001;15;-0.003164317;0.004646312
APC MR;APC MR;0.366666667;0;0;0;0.0954;0.0321;0.126;1.98;2.461;15;0.09394841;0.031623765
APC MR;APC MR;0.366666667;0.02;1.2;0.0612;0.0938;0.0324;0.126;1.993;2.419;15;0.092573356;0.032196559
APC MR;APC MR;0.366666667;0.04;2.4;0.1196;0.092;0.0325;0.127;2.003;2.373;15;0.091066065;0.032670552
APC MR;APC MR;0.366666667;0.06;3.6;0.1751;0.0901;0.0326;0.128;2.009;2.324;15;0.089427547;0.033045745
APC MR;APC MR;0.366666667;0.08;4.8;0.2278;0.088;0.0327;0.128;2.012;2.271;15;0.087658814;0.033322139
APC MR;APC MR;0.366666667;0.11;6;0.2777;0.0858;0.0327;0.128;2.011;2.215;15;0.084763767;0.033551479
APC MR;APC MR;0.366666667;0.13;7.2;0.325;0.0835;0.0326;0.127;2.007;2.155;15;0.082673911;0.033580872
APC MR;APC MR;0.366666667;0.15;8.4;0.3696;0.081;0.0324;0.127;1.998;2.091;15;0.080457373;0.033511465
APC MR;APC MR;0.366666667;0.17;9.6;0.4116;0.0784;0.0322;0.126;1.985;2.024;15;0.078115163;0.033343259
APC MR;APC MR;0.366666667;0.19;10.8;0.451;0.0757;0.0319;0.125;1.967;1.954;15;0.075648292;0.033076252
APC MR;APC MR;0.366666667;0.21;12;0.4877;0.0728;0.0316;0.123;1.944;1.88;15;0.073057769;0.032710445
APC MR;APC MR;0.366666667;0.23;13.2;0.5218;0.0699;0.0311;0.122;1.917;1.803;15;0.070344604;0.032245839
APC MR;APC MR;0.366666667;0.25;14.4;0.5535;0.0668;0.0306;0.12;1.885;1.723;15;0.067509806;0.031682432
APC MR;APC MR;0.366666667;0.27;15.6;0.5827;0.0636;0.03;0.117;1.847;1.641;15;0.064554387;0.031020225
APC MR;APC MR;0.366666667;0.3;16.8;0.6094;0.0603;0.0293;0.114;1.803;1.556;15;0.0598973;0.029841665
APC MR;APC MR;0.366666667;0.32;18;0.6331;0.0569;0.0285;0.111;1.756;1.469;15;0.056644744;0.028932459
APC MR;APC MR;0.366666667;0.34;19.2;0.6542;0.0534;0.0276;0.108;1.702;1.379;15;0.0532751;0.027924452
APC MR;APC MR;0.366666667;0.36;20.4;0.673;0.0499;0.0266;0.104;1.64;1.287;15;0.049789379;0.026817645
APC MR;APC MR;0.366666667;0.38;21.6;0.689;0.0462;0.0255;0.1;1.571;1.192;15;0.04618859;0.025612039
APC MR;APC MR;0.366666667;0.4;22.8;0.7015;0.0424;0.0243;0.095;1.495;1.094;15;0.042473744;0.024307632
APC MR;APC MR;0.366666667;0.42;24;0.7099;0.0385;0.0229;0.09;1.414;0.994;15;0.03864585;0.022904425
APC MR;APC MR;0.366666667;0.44;25.2;0.7147;0.0346;0.0215;0.084;1.322;0.892;15;0.034705918;0.021402419
APC MR;APC MR;0.366666667;0.46;26.4;0.7147;0.0305;0.0199;0.078;1.223;0.787;15;0.030654958;0.019801612
APC MR;APC MR;0.366666667;0.49;27.6;0.7085;0.0264;0.0181;0.071;1.115;0.681;15;0.02437255;0.017215152
APC MR;APC MR;0.366666667;0.51;28.8;0.6926;0.0222;0.0162;0.063;1;0.572;15;0.020048438;0.015367345
APC MR;APC MR;0.366666667;0.53;30;0.6605;0.0179;0.0143;0.056;0.88;0.461;15;0.015616834;0.013420739
APC MR;APC MR;0.366666667;0.55;31.2;0.603;0.0135;0.0123;0.048;0.757;0.348;15;0.011078746;0.011375332
APC MR;APC MR;0.366666667;0.57;32.4;0.5028;0.009;0.0103;0.04;0.632;0.233;15;0.006435185;0.009231125
APC MR;APC MR;0.366666667;0.59;33.6;0.3256;0.0045;0.0082;0.032;0.507;0.117;15;0.001687161;0.006988119
APC MR;APC MR;0.366666667;0.61;34.8;0.0019;0;0.0062;0.024;0.385;0.001;15;-0.003164317;0.004646312
APC MR;APC MR;0.366666667;0;0;0;0.0963;0.0339;0.259;3.267;3.881;15;0.09394841;0.031623765
APC MR;APC MR;0.366666667;0.02;1.5;0.0593;0.0946;0.0337;0.257;3.243;3.815;15;0.092573356;0.032196559
APC MR;APC MR;0.366666667;0.04;3;0.117;0.0928;0.0335;0.255;3.22;3.741;15;0.091066065;0.032670552
APC MR;APC MR;0.366666667;0.06;4.5;0.1728;0.0908;0.0332;0.254;3.2;3.661;15;0.089427547;0.033045745
APC MR;APC MR;0.366666667;0.08;6;0.2264;0.0887;0.033;0.252;3.181;3.574;15;0.087658814;0.033322139
APC MR;APC MR;0.366666667;0.11;7.5;0.2775;0.0864;0.0328;0.251;3.161;3.484;15;0.084763767;0.033551479
APC MR;APC MR;0.366666667;0.13;9;0.3262;0.0841;0.0326;0.249;3.139;3.389;15;0.082673911;0.033580872
APC MR;APC MR;0.366666667;0.15;10.5;0.372;0.0815;0.0324;0.247;3.114;3.286;15;0.080457373;0.033511465
APC MR;APC MR;0.366666667;0.17;12;0.4154;0.0789;0.032;0.245;3.084;3.181;15;0.078115163;0.033343259
APC MR;APC MR;0.366666667;0.19;13.5;0.4559;0.0761;0.0317;0.242;3.049;3.067;15;0.075648292;0.033076252
APC MR;APC MR;0.366666667;0.21;15;0.4937;0.0732;0.0313;0.239;3.009;2.949;15;0.073057769;0.032710445
APC MR;APC MR;0.366666667;0.23;16.5;0.5289;0.0702;0.0308;0.235;2.963;2.829;15;0.070344604;0.032245839
APC MR;APC MR;0.366666667;0.25;18;0.5613;0.067;0.0302;0.231;2.909;2.702;15;0.067509806;0.031682432
APC MR;APC MR;0.366666667;0.27;19.5;0.5917;0.0638;0.0296;0.226;2.847;2.573;15;0.064554387;0.031020225
APC MR;APC MR;0.366666667;0.3;21;0.6192;0.0605;0.0288;0.22;2.776;2.438;15;0.0598973;0.029841665
APC MR;APC MR;0.366666667;0.32;22.5;0.6442;0.0571;0.028;0.214;2.698;2.301;15;0.056644744;0.028932459
APC MR;APC MR;0.366666667;0.34;24;0.6667;0.0536;0.0271;0.207;2.611;2.16;15;0.0532751;0.027924452
APC MR;APC MR;0.366666667;0.36;25.5;0.6867;0.05;0.0261;0.199;2.513;2.016;15;0.049789379;0.026817645
APC MR;APC MR;0.366666667;0.38;27;0.704;0.0463;0.025;0.191;2.404;1.867;15;0.04618859;0.025612039
APC MR;APC MR;0.366666667;0.4;28.5;0.7179;0.0425;0.0238;0.181;2.286;1.715;15;0.042473744;0.024307632
APC MR;APC MR;0.366666667;0.42;30;0.7276;0.0387;0.0224;0.171;2.158;1.559;15;0.03864585;0.022904425
APC MR;APC MR;0.366666667;0.44;31.5;0.7338;0.0347;0.0209;0.16;2.016;1.399;15;0.034705918;0.021402419
APC MR;APC MR;0.366666667;0.46;33;0.7353;0.0306;0.0193;0.148;1.86;1.234;15;0.030654958;0.019801612
APC MR;APC MR;0.366666667;0.49;34.5;0.7301;0.0264;0.0176;0.134;1.692;1.066;15;0.02437255;0.017215152
APC MR;APC MR;0.366666667;0.51;36;0.7146;0.0222;0.0157;0.12;1.514;0.895;15;0.020048438;0.015367345
APC MR;APC MR;0.366666667;0.53;37.5;0.6818;0.0179;0.0138;0.106;1.331;0.721;15;0.015616834;0.013420739
APC MR;APC MR;0.366666667;0.55;39;0.6234;0.0135;0.0119;0.091;1.143;0.544;15;0.011078746;0.011375332
APC MR;APC MR;0.366666667;0.57;40.5;0.5222;0.0091;0.0099;0.075;0.951;0.365;15;0.006435185;0.009231125
APC MR;APC MR;0.366666667;0.59;41.9;0.3413;0.0045;0.0079;0.06;0.757;0.183;15;0.001687161;0.006988119
APC MR;APC MR;0.366666667;0.61;43.4;0.0025;0;0.0059;0.045;0.568;0.001;15;-0.003164317;0.004646312
APC MR;APC MR;0.366666667;0;0;0;0.0974;0.0359;0.473;4.971;5.653;15;0.09394841;0.031623765
APC MR;APC MR;0.366666667;0.02;1.8;0.0575;0.0956;0.0352;0.464;4.873;5.55;15;0.092573356;0.032196559
APC MR;APC MR;0.366666667;0.04;3.6;0.1147;0.0937;0.0345;0.456;4.786;5.439;15;0.091066065;0.032670552
APC MR;APC MR;0.366666667;0.06;5.4;0.1708;0.0916;0.034;0.449;4.715;5.321;15;0.089427547;0.033045745
APC MR;APC MR;0.366666667;0.08;7.2;0.2252;0.0895;0.0336;0.443;4.654;5.193;15;0.087658814;0.033322139
APC MR;APC MR;0.366666667;0.11;9;0.2775;0.0871;0.0332;0.438;4.599;5.059;15;0.084763767;0.033551479
APC MR;APC MR;0.366666667;0.13;10.8;0.3273;0.0847;0.0328;0.433;4.547;4.916;15;0.082673911;0.033580872
APC MR;APC MR;0.366666667;0.15;12.6;0.3745;0.0821;0.0324;0.428;4.495;4.766;15;0.080457373;0.033511465
APC MR;APC MR;0.366666667;0.17;14.4;0.4189;0.0794;0.032;0.423;4.44;4.608;15;0.078115163;0.033343259
APC MR;APC MR;0.366666667;0.19;16.2;0.4606;0.0765;0.0316;0.417;4.381;4.443;15;0.075648292;0.033076252
APC MR;APC MR;0.366666667;0.21;18;0.4994;0.0736;0.0311;0.411;4.315;4.27;15;0.073057769;0.032710445
APC MR;APC MR;0.366666667;0.23;19.8;0.5353;0.0705;0.0306;0.404;4.244;4.092;15;0.070344604;0.032245839
APC MR;APC MR;0.366666667;0.25;21.6;0.5686;0.0673;0.03;0.396;4.164;3.91;15;0.067509806;0.031682432
APC MR;APC MR;0.366666667;0.27;23.4;0.5996;0.0641;0.0294;0.388;4.071;3.721;15;0.064554387;0.031020225
APC MR;APC MR;0.366666667;0.3;25.2;0.6282;0.0608;0.0286;0.378;3.967;3.527;15;0.0598973;0.029841665
APC MR;APC MR;0.366666667;0.32;27;0.6542;0.0573;0.0278;0.367;3.851;3.328;15;0.056644744;0.028932459
APC MR;APC MR;0.366666667;0.34;28.8;0.6778;0.0538;0.0268;0.354;3.721;3.124;15;0.0532751;0.027924452
APC MR;APC MR;0.366666667;0.36;30.6;0.6989;0.0502;0.0258;0.34;3.575;2.913;15;0.049789379;0.026817645
APC MR;APC MR;0.366666667;0.38;32.4;0.7173;0.0464;0.0246;0.325;3.414;2.696;15;0.04618859;0.025612039
APC MR;APC MR;0.366666667;0.4;34.2;0.7325;0.0426;0.0234;0.308;3.238;2.474;15;0.042473744;0.024307632
APC MR;APC MR;0.366666667;0.42;36;0.7438;0.0387;0.022;0.29;3.048;2.246;15;0.03864585;0.022904425
APC MR;APC MR;0.366666667;0.44;37.8;0.7515;0.0347;0.0205;0.27;2.838;2.013;15;0.034705918;0.021402419
APC MR;APC MR;0.366666667;0.47;39.6;0.7543;0.0306;0.0188;0.249;2.612;1.775;15;0.028588158;0.018964159
APC MR;APC MR;0.366666667;0.49;41.4;0.7505;0.0264;0.0171;0.226;2.37;1.532;15;0.02437255;0.017215152
APC MR;APC MR;0.366666667;0.51;43.2;0.7362;0.0222;0.0153;0.201;2.116;1.286;15;0.020048438;0.015367345
APC MR;APC MR;0.366666667;0.53;45;0.7044;0.0178;0.0134;0.177;1.856;1.036;15;0.015616834;0.013420739
APC MR;APC MR;0.366666667;0.55;46.8;0.6466;0.0135;0.0115;0.151;1.587;0.782;15;0.011078746;0.011375332
APC MR;APC MR;0.366666667;0.57;48.6;0.5443;0.009;0.0095;0.125;1.314;0.525;15;0.006435185;0.009231125
APC MR;APC MR;0.366666667;0.59;50.4;0.358;0.0045;0.0075;0.099;1.039;0.263;15;0.001687161;0.006988119
APC MR;APC MR;0.366666667;0.61;52.2;0.0028;0;0.0056;0.074;0.773;0.001;15;-0.003164317;0.004646312
APC MR;APC MR;0.305555556;0;0;0;0.0839;0.0284;0.004;0.273;0.281;18;0.081459564;0.025690543
APC MR;APC MR;0.305555556;0.02;0.3;0.054;0.0822;0.0285;0.004;0.273;0.275;18;0.080079943;0.026171071
APC MR;APC MR;0.305555556;0.04;0.6;0.1055;0.0805;0.0286;0.004;0.274;0.269;18;0.078558956;0.026552799
APC MR;APC MR;0.305555556;0.06;1;0.1545;0.0786;0.0286;0.004;0.274;0.263;18;0.076897611;0.026835726
APC MR;APC MR;0.305555556;0.07;1.3;0.2008;0.0766;0.0286;0.004;0.274;0.256;18;0.076014621;0.02694014
APC MR;APC MR;0.305555556;0.09;1.6;0.2445;0.0745;0.0286;0.004;0.274;0.249;18;0.074144634;0.027074868
APC MR;APC MR;0.305555556;0.11;1.9;0.2855;0.0724;0.0285;0.004;0.273;0.242;18;0.072136814;0.027110796
APC MR;APC MR;0.305555556;0.13;2.2;0.3239;0.0701;0.0284;0.004;0.272;0.235;18;0.069992172;0.027047924
APC MR;APC MR;0.305555556;0.15;2.6;0.3596;0.0678;0.0283;0.004;0.271;0.227;18;0.067711717;0.026886252
APC MR;APC MR;0.305555556;0.17;2.9;0.3926;0.0653;0.0281;0.004;0.269;0.219;18;0.06529646;0.026625779
APC MR;APC MR;0.305555556;0.19;3.2;0.4231;0.0628;0.0278;0.004;0.267;0.21;18;0.06274741;0.026266507
APC MR;APC MR;0.305555556;0.21;3.5;0.4511;0.0603;0.0275;0.004;0.264;0.202;18;0.060065577;0.025808435
APC MR;APC MR;0.305555556;0.22;3.8;0.4766;0.0576;0.0272;0.004;0.26;0.193;18;0.058675182;0.025542349
APC MR;APC MR;0.305555556;0.24;4.2;0.4997;0.0549;0.0267;0.004;0.256;0.183;18;0.055796069;0.024936077
APC MR;APC MR;0.305555556;0.26;4.5;0.5205;0.052;0.0262;0.004;0.251;0.174;18;0.052786697;0.024231004
APC MR;APC MR;0.305555556;0.28;4.8;0.539;0.0491;0.0256;0.004;0.246;0.164;18;0.049648077;0.023427132
APC MR;APC MR;0.305555556;0.3;5.1;0.5552;0.0462;0.0249;0.004;0.239;0.154;18;0.046381219;0.02252446
APC MR;APC MR;0.305555556;0.32;5.4;0.5692;0.0431;0.0241;0.004;0.231;0.144;18;0.042987132;0.021522988
APC MR;APC MR;0.305555556;0.34;5.7;0.5811;0.04;0.0232;0.004;0.222;0.134;18;0.039466827;0.020422715
APC MR;APC MR;0.305555556;0.36;6.1;0.5904;0.0367;0.0221;0.003;0.212;0.123;18;0.035821314;0.019223643
APC MR;APC MR;0.305555556;0.37;6.4;0.5967;0.0334;0.021;0.003;0.201;0.112;18;0.03395192;0.018587057
APC MR;APC MR;0.305555556;0.39;6.7;0.5993;0.03;0.0197;0.003;0.188;0.1;18;0.030120487;0.017239785
APC MR;APC MR;0.305555556;0.41;7;0.5971;0.0264;0.0183;0.003;0.175;0.088;18;0.026166371;0.015793713
APC MR;APC MR;0.305555556;0.43;7.3;0.5886;0.0229;0.0168;0.003;0.16;0.077;18;0.022090581;0.01424884
APC MR;APC MR;0.305555556;0.45;7.7;0.5709;0.0193;0.0152;0.002;0.145;0.064;18;0.017894127;0.012605168
APC MR;APC MR;0.305555556;0.47;8;0.5388;0.0155;0.0135;0.002;0.129;0.052;18;0.01357802;0.010862696
APC MR;APC MR;0.305555556;0.49;8.3;0.4855;0.0118;0.0118;0.002;0.113;0.039;18;0.009143268;0.009021424
APC MR;APC MR;0.305555556;0.51;8.6;0.3981;0.0079;0.01;0.002;0.096;0.026;18;0.004590883;0.007081352
APC MR;APC MR;0.305555556;0.52;8.9;0.2528;0.004;0.0083;0.001;0.079;0.013;18;0.002270892;0.006074265
APC MR;APC MR;0.305555556;0.54;9.3;0.0002;0;0.0065;0.001;0.062;0;18;-0.002456051;0.003985993
APC MR;APC MR;0.305555556;0;0;0;0.0839;0.0278;0.034;1.064;1.122;18;0.081459564;0.025690543
APC MR;APC MR;0.305555556;0.02;0.6;0.0551;0.0822;0.0278;0.034;1.066;1.099;18;0.080079943;0.026171071
APC MR;APC MR;0.305555556;0.04;1.3;0.1076;0.0804;0.0278;0.034;1.067;1.075;18;0.078558956;0.026552799
APC MR;APC MR;0.305555556;0.06;1.9;0.1576;0.0785;0.0278;0.034;1.067;1.049;18;0.076897611;0.026835726
APC MR;APC MR;0.305555556;0.07;2.5;0.205;0.0765;0.0278;0.034;1.066;1.023;18;0.076014621;0.02694014
APC MR;APC MR;0.305555556;0.09;3.2;0.2498;0.0744;0.0278;0.034;1.064;0.995;18;0.074144634;0.027074868
APC MR;APC MR;0.305555556;0.11;3.8;0.292;0.0722;0.0277;0.034;1.06;0.966;18;0.072136814;0.027110796
APC MR;APC MR;0.305555556;0.13;4.4;0.3316;0.0699;0.0275;0.033;1.055;0.936;18;0.069992172;0.027047924
APC MR;APC MR;0.305555556;0.15;5.1;0.3685;0.0676;0.0273;0.033;1.048;0.904;18;0.067711717;0.026886252
APC MR;APC MR;0.305555556;0.17;5.7;0.4029;0.0651;0.0271;0.033;1.039;0.871;18;0.06529646;0.026625779
APC MR;APC MR;0.305555556;0.19;6.4;0.4347;0.0626;0.0268;0.033;1.028;0.837;18;0.06274741;0.026266507
APC MR;APC MR;0.305555556;0.21;7;0.4641;0.06;0.0265;0.032;1.015;0.802;18;0.060065577;0.025808435
APC MR;APC MR;0.305555556;0.22;7.6;0.4909;0.0573;0.0261;0.032;1.001;0.766;18;0.058675182;0.025542349
APC MR;APC MR;0.305555556;0.24;8.3;0.5153;0.0545;0.0256;0.031;0.983;0.729;18;0.055796069;0.024936077
APC MR;APC MR;0.305555556;0.26;8.9;0.5372;0.0516;0.0251;0.031;0.962;0.691;18;0.052786697;0.024231004
APC MR;APC MR;0.305555556;0.28;9.5;0.5568;0.0487;0.0245;0.03;0.938;0.652;18;0.049648077;0.023427132
APC MR;APC MR;0.305555556;0.3;10.2;0.5741;0.0457;0.0238;0.029;0.91;0.611;18;0.046381219;0.02252446
APC MR;APC MR;0.305555556;0.32;10.8;0.589;0.0426;0.0229;0.028;0.878;0.57;18;0.042987132;0.021522988
APC MR;APC MR;0.305555556;0.34;11.4;0.6013;0.0394;0.022;0.027;0.844;0.528;18;0.039466827;0.020422715
APC MR;APC MR;0.305555556;0.35;12.1;0.6108;0.0362;0.021;0.026;0.804;0.484;18;0.037659659;0.019835529
APC MR;APC MR;0.305555556;0.37;12.7;0.6171;0.0328;0.0198;0.024;0.76;0.439;18;0.03395192;0.018587057
APC MR;APC MR;0.305555556;0.39;13.3;0.6195;0.0294;0.0186;0.023;0.712;0.393;18;0.030120487;0.017239785
APC MR;APC MR;0.305555556;0.41;14;0.617;0.0259;0.0172;0.021;0.661;0.347;18;0.026166371;0.015793713
APC MR;APC MR;0.305555556;0.43;14.6;0.6076;0.0224;0.0158;0.019;0.605;0.299;18;0.022090581;0.01424884
APC MR;APC MR;0.305555556;0.45;15.3;0.5881;0.0188;0.0143;0.017;0.547;0.251;18;0.017894127;0.012605168
APC MR;APC MR;0.305555556;0.47;15.9;0.5536;0.0151;0.0127;0.015;0.488;0.202;18;0.01357802;0.010862696
APC MR;APC MR;0.305555556;0.48;16.5;0.4973;0.0114;0.0111;0.014;0.426;0.153;18;0.011375411;0.00995441
APC MR;APC MR;0.305555556;0.5;17.2;0.4058;0.0076;0.0095;0.012;0.363;0.102;18;0.006881717;0.008063738
APC MR;APC MR;0.305555556;0.52;17.8;0.2553;0.0038;0.0078;0.01;0.3;0.051;18;0.002270892;0.006074265
APC MR;APC MR;0.305555556;0.54;18.4;0.0049;0.0001;0.0062;0.007;0.236;0.001;18;-0.002456051;0.003985993
APC MR;APC MR;0.305555556;0;0;0;0.0841;0.0265;0.109;2.289;2.531;18;0.081459564;0.025690543
APC MR;APC MR;0.305555556;0.02;1;0.0578;0.0824;0.0266;0.109;2.289;2.479;18;0.080079943;0.026171071
APC MR;APC MR;0.305555556;0.04;1.9;0.113;0.0805;0.0265;0.109;2.288;2.424;18;0.078558956;0.026552799
APC MR;APC MR;0.305555556;0.06;2.9;0.1658;0.0786;0.0265;0.109;2.284;2.366;18;0.076897611;0.026835726
APC MR;APC MR;0.305555556;0.07;3.8;0.2162;0.0766;0.0264;0.108;2.276;2.305;18;0.076014621;0.02694014
APC MR;APC MR;0.305555556;0.09;4.8;0.264;0.0745;0.0263;0.108;2.266;2.242;18;0.074144634;0.027074868
APC MR;APC MR;0.305555556;0.11;5.7;0.3092;0.0723;0.0261;0.107;2.253;2.176;18;0.072136814;0.027110796
APC MR;APC MR;0.305555556;0.13;6.7;0.352;0.07;0.0259;0.106;2.236;2.107;18;0.069992172;0.027047924
APC MR;APC MR;0.305555556;0.15;7.6;0.3922;0.0676;0.0257;0.105;2.215;2.035;18;0.067711717;0.026886252
APC MR;APC MR;0.305555556;0.17;8.6;0.4299;0.0651;0.0254;0.104;2.189;1.96;18;0.06529646;0.026625779
APC MR;APC MR;0.305555556;0.19;9.5;0.4652;0.0625;0.025;0.103;2.159;1.883;18;0.06274741;0.026266507
APC MR;APC MR;0.305555556;0.2;10.5;0.4981;0.0599;0.0246;0.101;2.125;1.803;18;0.061423028;0.026049821
APC MR;APC MR;0.305555556;0.22;11.4;0.5282;0.0572;0.0242;0.099;2.086;1.721;18;0.058675182;0.025542349
APC MR;APC MR;0.305555556;0.24;12.4;0.5557;0.0544;0.0237;0.097;2.044;1.637;18;0.055796069;0.024936077
APC MR;APC MR;0.305555556;0.26;13.3;0.5808;0.0515;0.0231;0.095;1.995;1.551;18;0.052786697;0.024231004
APC MR;APC MR;0.305555556;0.28;14.3;0.6033;0.0486;0.0225;0.092;1.94;1.463;18;0.049648077;0.023427132
APC MR;APC MR;0.305555556;0.3;15.2;0.6235;0.0456;0.0218;0.089;1.878;1.372;18;0.046381219;0.02252446
