TYPE;Model;BETA;J_adv-ratio;V_mph;Efficiency;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*
APC MR;APC MR;0.45;0.24;13.4;0.4804;0.0893;0.0438;0.076;0.799;1.024;10;0.086261896;0.042664263
APC MR;APC MR;0.45;0.26;14.7;0.5139;0.0858;0.0433;0.075;0.79;0.984;10;0.083522303;0.042177273
APC MR;APC MR;0.45;0.28;16.1;0.5448;0.0822;0.0427;0.074;0.779;0.943;10;0.080675045;0.041591483
APC MR;APC MR;0.45;0.31;17.4;0.573;0.0784;0.0419;0.073;0.765;0.899;10;0.076204492;0.040527548
APC MR;APC MR;0.45;0.33;18.7;0.5986;0.0745;0.0411;0.071;0.75;0.854;10;0.073092487;0.039694758
APC MR;APC MR;0.45;0.35;20.1;0.6218;0.0705;0.0401;0.07;0.731;0.808;10;0.069876351;0.038763168
APC MR;APC MR;0.45;0.38;21.4;0.6425;0.0663;0.0389;0.068;0.71;0.76;10;0.06485911;0.037180533
APC MR;APC MR;0.45;0.4;22.8;0.6606;0.062;0.0376;0.065;0.687;0.711;10;0.061387065;0.036001943
APC MR;APC MR;0.45;0.42;24.1;0.6762;0.0576;0.0362;0.063;0.66;0.661;10;0.057814423;0.034724553
APC MR;APC MR;0.45;0.45;25.4;0.6894;0.0531;0.0345;0.06;0.629;0.609;10;0.052269051;0.032623218
APC MR;APC MR;0.45;0.47;26.8;0.7001;0.0483;0.0326;0.057;0.594;0.554;10;0.048449337;0.031098828
APC MR;APC MR;0.45;0.49;28.1;0.7075;0.0435;0.0304;0.053;0.555;0.499;10;0.044532561;0.029475638
APC MR;APC MR;0.45;0.52;29.5;0.711;0.0385;0.0281;0.049;0.512;0.441;10;0.038477615;0.026855603
APC MR;APC MR;0.45;0.54;30.8;0.7097;0.0333;0.0254;0.044;0.464;0.382;10;0.034322603;0.024985413
APC MR;APC MR;0.45;0.57;32.1;0.7011;0.028;0.0226;0.039;0.412;0.321;10;0.027915038;0.021994878
APC MR;APC MR;0.45;0.59;33.5;0.6802;0.0226;0.0196;0.034;0.357;0.259;10;0.023528102;0.019877688
APC MR;APC MR;0.45;0.61;34.8;0.6382;0.0171;0.0164;0.028;0.299;0.196;10;0.019050164;0.017661698
APC MR;APC MR;0.45;0.64;36.2;0.5547;0.0115;0.0131;0.023;0.24;0.131;10;0.012164837;0.014152463
APC MR;APC MR;0.45;0.66;37.5;0.3835;0.0058;0.0099;0.017;0.181;0.066;10;0.007463812;0.011689473
APC MR;APC MR;0.45;0.68;38.8;0.0012;0;0.0069;0.012;0.126;0;10;0.00267532;0.009127682
APC MR;APC MR;0.45;0;0;0;0.1129;0.0426;0.118;1.058;1.762;10;0.110371465;0.040801743
APC MR;APC MR;0.45;0.02;1.6;0.0611;0.1115;0.043;0.119;1.069;1.74;10;0.109002636;0.041500353
APC MR;APC MR;0.45;0.05;3.1;0.1194;0.1099;0.0434;0.12;1.079;1.715;10;0.106725111;0.042363018
APC MR;APC MR;0.45;0.07;4.7;0.1748;0.1081;0.0437;0.121;1.087;1.687;10;0.105058714;0.042814628
APC MR;APC MR;0.45;0.09;6.3;0.2275;0.106;0.044;0.121;1.092;1.655;10;0.103275056;0.043167438
APC MR;APC MR;0.45;0.12;7.8;0.2775;0.1038;0.0441;0.122;1.096;1.62;10;0.100381916;0.043511403
APC MR;APC MR;0.45;0.14;9.4;0.3249;0.1013;0.0441;0.122;1.097;1.581;10;0.098309526;0.043617213
APC MR;APC MR;0.45;0.17;10.9;0.3696;0.0986;0.0441;0.122;1.095;1.539;10;0.094988022;0.043590678
APC MR;APC MR;0.45;0.19;12.5;0.4116;0.0957;0.0439;0.121;1.091;1.494;10;0.092633213;0.043449488
APC MR;APC MR;0.45;0.21;14.1;0.4511;0.0927;0.0436;0.12;1.084;1.447;10;0.090167203;0.043209498
APC MR;APC MR;0.45;0.24;15.6;0.4881;0.0894;0.0432;0.119;1.074;1.395;10;0.086261896;0.042664263
APC MR;APC MR;0.45;0.26;17.2;0.5225;0.0859;0.0427;0.118;1.06;1.341;10;0.083522303;0.042177273
APC MR;APC MR;0.45;0.28;18.8;0.5544;0.0822;0.042;0.116;1.043;1.284;10;0.080675045;0.041591483
APC MR;APC MR;0.45;0.31;20.3;0.5838;0.0784;0.0412;0.114;1.023;1.224;10;0.076204492;0.040527548
APC MR;APC MR;0.45;0.33;21.9;0.6106;0.0745;0.0403;0.111;1.001;1.162;10;0.073092487;0.039694758
APC MR;APC MR;0.45;0.35;23.5;0.635;0.0704;0.0392;0.108;0.974;1.098;10;0.069876351;0.038763168
APC MR;APC MR;0.45;0.38;25;0.657;0.0661;0.038;0.105;0.944;1.032;10;0.06485911;0.037180533
APC MR;APC MR;0.45;0.4;26.6;0.6762;0.0618;0.0366;0.101;0.91;0.964;10;0.061387065;0.036001943
APC MR;APC MR;0.45;0.42;28.2;0.6929;0.0573;0.0351;0.097;0.873;0.895;10;0.057814423;0.034724553
APC MR;APC MR;0.45;0.45;29.7;0.7071;0.0527;0.0334;0.092;0.83;0.823;10;0.052269051;0.032623218
