TYPE;Model;Kv_rpm_v;Pole_number;Io_A;R_ohm;Mass_g;Imax_A;No_s;Voltage;Kt_Nm_A;Tnom_Nm;Eta_efficiency;Icc_A;I_opt_A;Cf_Nm;Tmax_Nm;Estim -->;Mass_SL_g;Resistance_SL_ohm;Cf_SL_Nm
AXI;AXI 2814/12 GOLD LINE;1390;14;1.8;0.053;106;35;3;11.1;0.00687;0.159;82;209.43;19.42;0.0124;0.240449914;;82.4108;0.042;0.008211811
AXI;AXI 2814/10 GOLD LINE;1640;14;2.3;0.037;106;40;3;11.1;0.00582;0.161;83;300;26.27;0.0134;0.232909673;;80.1907;0.0316;0.007990585
AXI;AXI 2814/16 GOLD LINE;1035;14;1;0.085;106;30;3;11.1;0.00923;0.175;80;130.59;11.43;0.00923;0.276791205;;92.9778;0.062;0.009264758
AXI;AXI 2814/20 GOLD LINE;840;14;0.7;0.145;106;25;4;14.8;0.01137;0.185;80;102.07;8.45;0.00796;0.284205256;;95.1085;0.0906;0.009477066
AXI;AXI 2217/12 GOLD LINE;1380;14;0.9;0.061;69.5;30;3;11.1;0.00692;0.188;82;181.97;12.8;0.00623;0.207593404;;72.6589;0.0526;0.007240086
AXI;AXI 2820/8 GOLD LINE;1500;14;3.3;0.026;151;55;3;11.1;0.00637;0.215;83;426.92;37.53;0.021;0.350140875;;113.7327;0.0211;0.011332879
AXI;AXI 2820/10 GOLD LINE;1200;14;2.3;0.039;151;42;4;14.8;0.00796;0.22;85;379.49;29.54;0.0183;0.33422538;;109.2869;0.0352;0.010889879
AXI;AXI 2820/12 GOLD LINE;990;14;1.7;0.059;151;37;4;14.8;0.00965;0.225;84;250.85;20.65;0.0164;0.356892903;;115.61;0.0471;0.011519943
AXI;AXI 2826/6 GOLD LINE;1500;14;3.5;0.025;181;65;3;11.1;0.00637;0.264;83;444;39.42;0.0223;0.413802852;;131.2417;0.0166;0.013077554
AXI;AXI 2826/8 GOLD LINE;1130;14;2.9;0.03;181;55;3;11.1;0.00845;0.288;83;370;32.76;0.0245;0.464788772;;144.9856;0.0248;0.014447071
AXI;AXI 2826/10 GOLD LINE;920;14;1.7;0.042;181;42;5;18.5;0.01038;0.294;88;440.48;27.36;0.0176;0.435946148;;137.2388;0.041;0.013675138
AXI;AXI 2826/12 GOLD LINE;760;14;1.3;0.062;181;37;5;18.5;0.01256;0.298;87;298.39;19.7;0.0163;0.464899965;;145.0154;0.0548;0.014450033
AXI;AXI 2820/14 GOLD LINE;860;14;1.7;0.078;151;36;4;14.8;0.0111;0.314;79;189.74;17.96;0.0189;0.399737997;;127.4087;0.0531;0.01269562
AXI;AXI 4120/14 GOLD LINE;660;14;2;0.041;320;55;5;18.5;0.01447;0.55;87;451.22;30.04;0.0289;0.795774715;;229.878;0.0337;0.022906157
AXI;AXI 4120/18 GOLD LINE;515;14;1.5;0.07;320;55;7;25.9;0.01854;0.714;86;370;23.56;0.0278;1.019827791;;284.3434;0.0388;0.028333354
AXI;AXI 4120/20 GOLD LINE;465;14;1.5;0.082;320;52;6;22.2;0.02054;0.729;83;270.73;20.15;0.0308;1.067878328;;295.7888;0.0446;0.029473825
AXI;AXI 4130/16 GOLD LINE;385;14;1.3;0.063;409;60;8;29.6;0.0248;0.96;89;469.84;24.71;0.0322;1.488202065;;393.1248;0.0405;0.039172851
AXI;AXI 4130/20 GOLD LINE;305;14;1.2;0.099;409;55;8;29.6;0.03131;1.215;84;298.99;18.94;0.0376;1.722004302;;445.5019;0.0524;0.04439196
AXI;AXI 5320/28 GOLD LINE;249;14;1.4;0.057;495;65;10;37;0.03835;1.327;91;649.12;30.15;0.0537;2.492788265;;611.717;0.0463;0.060954436
AXI;AXI 5320/18 GOLD LINE;370;14;1.4;0.023;495;78;6;22.2;0.02581;1.383;92;965.22;36.76;0.0361;2.013094956;;509.3186;0.0285;0.05075097
AXI;AXI 5320/24 GOLD LINE;206;14;1.1;0.084;495;50;10;37;0.04636;1.432;90;440.48;22.01;0.051;2.317790433;;574.7185;0.0751;0.057267731
AXI;AXI 5330/24 GOLD LINE;197;14;1.5;0.057;652;65;10;37;0.04847;1.769;90;649.12;31.2;0.0727;3.150783137;;747.7395;0.053;0.074508382
AXI;AXI 5325/16 GOLD LINE;350;14;2.1;0.03;575;85;6;22.2;0.02728;1.853;89.05;853.85;42.34;0.06;2.319114885;;575;0.03;0.06
AXI;AXI 5325/16 GOLD LINE;350;14;2.1;0.026;575;85;6;22.2;0.02728;1.853;89;853.85;42.34;0.0573;2.319114885;;575;0.026;0.05729578
AXI;AXI 5325/18 GOLD LINE;308;14;1.7;0.032;575;80;8;29.6;0.031;1.963;91;925;39.65;0.0527;2.480336775;;609.097;0.0305;0.06069337
AXI;AXI 5330/18 GOLD LINE;259;14;2;0.032;652;80;10;37;0.03687;2.138;92;1156.25;48.09;0.0737;2.949589679;;706.6222;0.0337;0.070411252
AXI;AXI 5325/20 GOLD LINE;280;14;2;0.037;575;78;8;29.6;0.0341;2.149;89;800;40;0.0682;2.660161192;;646.7572;0.0334;0.064446017
AXI;AXI 5325/24 GOLD LINE;232;14;1.7;0.045;575;75;10;37;0.04116;2.194;90;822.22;37.39;0.07;3.087057086;;734.7578;0.0393;0.073214816
AXI;AXI 5345/18HD GOLD LINE;171;14;1.6;0.042;995;75;12;44.4;0.05584;3.429;92;1057.14;41.13;0.0894;4.188287976;;954.3521;0.0468;0.09509626
SCORPION;Scorpion S-1804-1650KV;1650;12;0.25;0.4;12;5;9;33.3;0.005787452;0.027;89.29429429;83.25;4.562071898;0.001446863;0.028937262;;12.43180064;0.202803226;0.001498926
SCORPION;Scorpion S-1805-2250KV;2250;12;0.25;0.4;16;7;9;33.3;0.004244132;0.029;88.32046332;83.25;4.562071898;0.001061033;0.029708923;;22.5534118;0.105390712;0.002719308
SCORPION;?Scorpion SII-2205-1900KV (V2);1900;14;0.58;0.128;35.4;12;12;44.4;0.005025946;0.057;91.87441441;346.875;14.18405795;0.002915048;0.060311347;;22.56014001;0.15136836;0.00272012
SCORPION;?Scorpion SII-2205-1585KV (V2);1585;14;0.47;0.182;35.4;10;12;44.4;0.006024793;0.057;91.39355856;243.956044;10.70791019;0.002831653;0.060247928;;23.89450427;0.155642206;0.002881006
SCORPION;Scorpion SII-2205-1490KV (V2);1490;14;0.42;0.188;35.4;10;12;44.4;0.006408924;0.061;91.7436036;236.1702128;9.959492425;0.002691748;0.064089239;;36.48925811;0.14101637;0.00439958
SCORPION;?Scorpion SII-2208-1100KV (V2);1100;14;0.41;0.17;45;12;12;44.4;0.008681179;0.101;92.14572072;261.1764706;10.34806035;0.003559283;0.104174145;;36.59000993;0.103666668;0.004411728
SCORPION;?Scorpion SII-2208-1280KV (V2);1280;14;0.47;0.15;45;14;12;44.4;0.007460388;0.101;92.0719112;296;11.79491416;0.003506382;0.104445431;;47.1986259;0.141871281;0.005690829
SCORPION;?Scorpion SII-2212-885KV (V2);885;14;0.41;0.151;58;13;12;44.4;0.010790166;0.136;92.56441961;294.0397351;10.9798129;0.004423968;0.140272153;;43.71995526;0.136979205;0.005271399
SCORPION;?Scorpion SII-2212-960KV (V2);960;14;0.51;0.139;58;13;12;44.4;0.009947184;0.124;92.16676542;319.4244604;12.76348208;0.005073064;0.129313391;;45.03264139;0.104958279;0.005429672
SCORPION;?Scorpion SII-2212-1070KV (V2);1070;14;0.59;0.091;58;15;12;44.4;0.008924576;0.129;93.11326577;487.9120879;16.9666771;0.0052655;0.133868644;;38.40283878;0.045784058;0.004630304
SCORPION;?Scorpion SII-2212-1850KV (V2);1850;14;1.31;0.032;58;22;12;44.4;0.005161782;0.107;92.55428337;1387.5;42.6336135;0.006761934;0.113559203;;55.91431707;0.042743378;0.006741697
SCORPION;?Scorpion SII-2212-1400kv (V2);1400;14;0.73;0.091;58;25;12;44.4;0.006820926;0.166;92.10574324;487.9120879;18.87262102;0.004979276;0.170523153;;55.53890903;0.10459623;0.006696433
SCORPION;?Scorpion SII-2215-900KV (V2);900;14;0.52;0.142;68.6;16;12;44.4;0.01061033;0.164;91.79918919;312.6760563;12.75113914;0.005517371;0.169765273;;55.25784345;0.067270642;0.006662545
SCORPION;?Scorpion SII-2215-1127KV (V2);1127;14;0.73;0.078;68.6;20;12;44.4;0.0084732;0.163;92.96472973;569.2307692;20.38476052;0.006185436;0.169464003;;43.88086343;0.038298421;0.0052908
SCORPION;?Scorpion SII-2215-1810KV (V2);1810;14;1.35;0.031;68.6;25;12;44.4;0.005275854;0.125;92.94876126;1432.258065;43.97213194;0.007122404;0.131896362;;74.74180846;0.02635125;0.009011764
SCORPION;?Scorpion SII-2215-1400KV (V2);1400;14;0.95;0.095;68.6;35;12;44.4;0.006820926;0.232;90.00024131;467.3684211;21.07130751;0.00647988;0.238732415;;22.49956872;0.147362806;0.002712816
SCORPION;Scorpion S-2503-1610KV (F3P Special);1610;16;0.35;0.18;20;10;12;44.4;0.00593124;0.057;92.58783784;246.6666667;9.291573243;0.002075934;0.059312401;;20.53496528;0.115787371;0.00247594
SCORPION;Scorpion S-2503-1960KV (F3P Special);1960;16;0.44;0.135;20;11;12;44.4;0.00487209;0.051;92.78918919;328.8888889;12.02959314;0.00214372;0.053592991;;137.9822152;0.030556403;0.016636782
SCORPION;?Scorpion SII-3020-780KV (V2);780;14;1.21;0.03;166;40;12;44.4;0.012242688;0.475;94.35405405;1480;42.31784494;0.014813652;0.489707517;;136.1621161;0.023995112;0.016417329
SCORPION;?Scorpion SII-3020-890KV (V2);890;14;1.42;0.02;166;45;12;44.4;0.010729547;0.468;94.88138138;2220;56.14623763;0.015235956;0.482829603;;143.7873225;0.014086929;0.017336714
SCORPION;?Scorpion SII-3020-1110KV (V2);1110;14;2.08;0.016;166;60;12;44.4;0.00860297;0.498;94.44612613;2775;75.97367965;0.017894177;0.516178194;;212.5146334;0.017954164;0.025623299
SCORPION;?Scorpion SII-3026-710KV (V2);710;14;1.56;0.022;205;60;12;44.4;0.013449714;0.786;94.50432432;2018.181818;56.11028102;0.020981553;0.80698281;;199.6282082;0.012681777;0.024069558
SCORPION;?Scorpion SII-3026-890KV (V2);890;14;1.9;0.014;205;70;12;44.4;0.010729547;0.731;95.13841699;3171.428571;77.62547446;0.020386139;0.751068271;;172.4056087;0.009056986;0.020787276
SCORPION;?Scorpion SII-3026-1190KV (V2);1190;14;3.26;0.008;205;80;12;44.4;0.008024619;0.616;94.5422973;5550;134.5102227;0.026160258;0.641969518;;214.1051023;0.018775294;0.025815065
SCORPION;?Scorpion SII-3032-690KV (V2);690;14;2.71;0.022;275;60;12;44.4;0.01383956;0.793;92.64463964;2018.181818;73.95453149;0.037505208;0.830373616;;198.4718408;0.013097843;0.023930132
SCORPION;?Scorpion SII-3032-880KV (V2);880;14;3.12;0.012;275;70;12;44.4;0.010851473;0.726;93.73528958;3700;107.4430081;0.033856597;0.759603137;;71.58816979;0.04670982;0.008631524
SCORPION;?Scorpion SII-3008-1090KV (V2);1090;14;0.79;0.058;95;26;12;44.4;0.008760823;0.221;93.66834026;765.5172414;24.59184053;0.00692105;0.227781386;;77.66410517;0.032551904;0.009364111
SCORPION;?Scorpion SII-3008-1220KV (V2);1220;14;0.97;0.042;95;32;12;44.4;0.007827292;0.243;94.03347973;1057.142857;32.02231365;0.007592474;0.250473353;;101.7765252;0.044815448;0.012271392
SCORPION;?Scorpion SII-3014-830KV (V2);830;14;1.06;0.042;129;30;12;44.4;0.011505177;0.333;93.7290991;1057.142857;33.47493732;0.012195487;0.345155298;;107.4946406;0.026058651;0.012960836
SCORPION;?Scorpion SII-3014-1040KV (V2);1040;14;1.35;0.026;129;40;12;44.4;0.009182016;0.355;94.36171171;1707.692308;48.01442091;0.012395722;0.367280638;;105.5011714;0.019536563;0.012720479
SCORPION;?Scorpion SII-3014-1220KV (V2);1220;14;1.64;0.018;129;46;12;44.4;0.007827292;0.347;94.63640423;2466.666667;63.60293494;0.012836759;0.360055445;;384.7190882;0.019080591;0.046386322
SCORPION;?Scorpion SII-4020-420KV;420;14;0.91;0.032;288;70;12;44.4;0.02273642;1.571;93.72054054;1387.5;35.53343496;0.020690143;1.591549431;;365.8943962;0.012549204;0.044116592
SCORPION;?Scorpion SII-4020-540KV;540;14;1.22;0.02;288;85;12;44.4;0.017683883;1.482;94.79083201;2220;52.0422905;0.021574337;1.503130018;;352.1069397;0.009829344;0.042454212
SCORPION;?Scorpion SII-4020-630KV;630;14;1.54;0.015;288;95;12;44.4;0.015157614;1.417;95.22151494;2960;67.51592405;0.023342725;1.439973295;;503.2450794;0.019754658;0.060677229
SCORPION;?Scorpion SII-4025-330KV;330;14;0.74;0.037;353;75;12;44.4;0.028937262;2.149;92.825;1200;29.79932885;0.021413574;2.170294679;;436.6402596;0.014078346;0.052646557
SCORPION;?Scorpion SII-4025-440KV;440;14;1.1;0.025;353;85;12;44.4;0.021702947;1.821;93.98178325;1776;44.19954751;0.023873241;1.844750477;;434.5462661;0.010160847;0.05239408
SCORPION;?Scorpion SII-4025-520KV;520;14;1.4;0.016;353;100;12;44.4;0.018364032;1.811;95.04684685;2775;62.32976817;0.025709645;1.83640319;;564.3875056;0.028432887;0.068049289
SCORPION;?Scorpion SII-4035-250KV;250;14;0.69;0.037;450;65;12;44.4;0.038197186;2.456;93.57929487;1200;28.77498914;0.026356059;2.482817112;;440.5925493;0.024655103;0.053123093
SCORPION;?Scorpion SII-4035-330KV;330;10;1.41;0.031;435;65;12;44.4;0.028937262;1.84;93.39092689;1432.258065;44.93866788;0.04080154;1.880922055;;416.0052472;0.020461215;0.050158554
SCORPION;?Scorpion SII-4035-380KV;380;10;1.52;0.025;435;70;12;44.4;0.025129728;1.721;93.97271557;1776;51.95690522;0.038197186;1.75908095;;403.6418619;0.015343034;0.048667877
SCORPION;?Scorpion SII-4035-450KV;450;10;1.71;0.026;435;80;12;44.4;0.021220659;1.661;93.27795045;1707.692308;54.03844785;0.036287327;1.697652726;;669.0751662;0.027649869;0.080671682
SCORPION;Scorpion S-5028-220KV (F3A Limited Series);220;14;0.98;0.032;576;70;12;44.4;0.043405894;2.996;93.62558559;1387.5;36.87478813;0.042537776;3.03841255;;836.6224971;0.031906773;0.100873186
SCORPION;?Scorpion SII-5525-170KV;170;14;0.78;0.042;708;70;12;44.4;0.056172333;3.888;92.33787645;1057.142857;28.71535179;0.04381442;3.9320633;;864.9145435;0.019781962;0.104284413
SCORPION;?Scorpion SII-5525-195KV;210;14;1.11;0.026;708;90;12;44.4;0.045472841;4.042;93.5613964;1707.692308;43.537782;0.050474853;4.09255568;;834.0983222;0.02437242;0.100568842
SCORPION;?Scorpion SII-5525-210KV;195;14;0.88;0.034;708;80;12;44.4;0.048970752;3.875;92.84126126;1305.882353;33.89950546;0.043094262;3.917660138;;1091.94605;0.023107592;0.131658039
SCORPION;?Scorpion SII-5535-160KV;160;14;1.11;0.027;906;90;12;44.4;0.059683104;5.305;93.36119369;1644.444444;42.72391992;0.066248245;5.371479329;;986.4724468;0.019409506;0.118940883
SCORPION;?Scorpion SII-5535-190KV;190;14;1.24;0.022;906;95;12;44.4;0.050259456;4.712;94.04897108;2018.181818;50.02544807;0.062321725;4.774648293;;1173.241406;0.01619842;0.141459977
SCORPION;Scorpion SII-6530-180KV;180;14;1.26;0.022;1043;110;12;44.4;0.053051648;5.769;93.46652744;2018.181818;50.42726535;0.066845076;5.835681247;;1209.033697;0.022186226;0.145775522
SCORPION;Scorpion SII-6530-150KV;150;14;1.15;0.032;1043;95;12;44.4;0.063661977;5.975;92.02550972;1387.5;39.94527506;0.073211274;6.047887837;;1209.03;0.02;0.15
KDEDirect;KDE1806XF-2350;2350;12;0.4;0.117;18;18;2;7.4;0.00406353;0.073143548;69.95075075;63.24786325;5.029825573;0.001625412;0.073143548;;27.92342108;0.047427971;0.00302493
KDEDirect;KDE2304XF-2350;2350;12;0.7;0.091;24;20;2;7.4;0.00406353;0.081270609;72.76621622;81.31868132;7.54473836;0.002844471;0.081270609;;19.41054393;0.066164455;0.002234118
KDEDirect;KDE2306XF-2050;2050;12;0.6;0.068;29;24;2;7.4;0.004658193;0.111796643;75.9972973;108.8235294;8.080477563;0.002794916;0.111796643;;21.24508203;0.056918952;0.002408741
KDEDirect;KDE2306XF-2550;2550;12;1.2;0.044;29;34;2;7.4;0.003744822;0.127323954;76.96788553;168.1818182;14.20627262;0.004493787;0.127323954;;31.21628483;0.025455068;0.003319396
KDEDirect;KDE2315XF-2050;2050;12;1.3;0.034;64;44;2;7.4;0.004658193;0.204960512;77.42653563;217.6470588;16.8208554;0.006055651;0.204960512;;46.94659954;0.019951491;0.004663853
KDEDirect;KDE2315XF-965;965;12;0.5;0.102;64;26;3;11.1;0.009895644;0.257286747;74.64449064;108.8235294;7.376433061;0.004947822;0.257286747;;57.04855045;0.065067031;0.005486288
KDEDirect;KDE2315XF-885;885;12;0.5;0.127;64;24;3;11.1;0.010790166;0.258963975;71.02927928;87.4015748;6.610657108;0.005395083;0.258963975;;57.36716877;0.076647455;0.00551181
KDEDirect;KDE2814XF-775;775;12;0.5;0.069;95;36;3;11.1;0.012321673;0.443580228;76.54354354;160.8695652;8.968544063;0.006160837;0.443580228;;90.99255084;0.046331551;0.008095548
KDEDirect;KDE2814XF-515;515;12;0.3;0.13;95;24;4;14.8;0.018542323;0.445015763;77.93243243;113.8461538;5.844129204;0.005562697;0.445015763;;145;0.08;0.011936621
KDEDirect;KDE3510XF-715;715;12;0.5;0.054;120;45;3;11.1;0.01335566;0.60100468;77.24024024;205.5555556;10.13793755;0.00667783;0.60100468;;167.6127587;0.069621652;0.013468854
KDEDirect;KDE3510XF-475;475;12;0.2;0.105;120;30;4;14.8;0.020103782;0.603113469;78.19144144;140.952381;5.309470425;0.004020756;0.603113469;;183.8909604;0.066468774;0.014550404
KDEDirect;KDE4012XF-400;400;18;0.5;0.08;145;32;4;14.8;0.023873241;0.763943727;81.41047297;185;9.617692031;0.011936621;0.763943727;;194.2132013;0.049155496;0.015227912
KDEDirect;KDE4014XF-380;380;18;0.5;0.075;160;36;4;14.8;0.025129728;0.904670203;80.62124625;197.3333333;9.933109617;0.012564864;0.904670203;;118.0505042;0.035272113;0.010056911
KDEDirect;KDE4213XF-360;360;24;0.4;0.081;175;38;4;14.8;0.026525824;1.007981306;78.36899004;182.7160494;8.549059583;0.01061033;1.007981306;;301.42973;0.034712452;0.021964929
KDEDirect;KDE3520XF-400;400;12;0.3;0.078;190;45;4;14.8;0.023873241;1.074295866;75.77522523;189.7435897;7.54473836;0.007161972;1.074295866;;318.0236649;0.071429709;0.022968058
KDEDirect;KDE4215XF-465;465;24;0.7;0.052;195;62;4;14.8;0.020536122;1.273239545;77.3331299;284.6153846;14.11491301;0.014375285;1.273239545;;91.24489913;0.104438636;0.008114253
KDEDirect;KDE5215XF-435;435;24;1.4;0.031;305;72;4;14.8;0.021952406;1.580573228;83.26771772;477.4193548;25.85318349;0.030733368;1.580573228;;118.4054546;0.079521257;0.010082104
KDEDirect;KDE5215XF-330;330;24;0.7;0.044;305;62;4;14.8;0.028937262;1.794110268;80.64664342;336.3636364;15.34452819;0.020256084;1.794110268;;224.6591303;0.028534961;0.017192728
KDEDirect;KDE5215XF-220;220;24;0.5;0.078;305;44;6;22.2;0.043405894;1.909859317;83.57985258;284.6153846;11.92927878;0.021702947;1.909859317;;270.4043334;0.023941722;0.020064089
KDEDirect;KDE6213XF-185;185;24;0.6;0.072;360;62;6;22.2;0.051617819;3.200304802;79.11874455;308.3333333;13.60147051;0.030970692;3.200304802;;495.0194528;0.048318051;0.033209318
maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;12200;2;0.0234;0.0231;1.2;0.468;0.810810811;3;0.000784;0.000215;94.657658;129.8701299;1.743261609;1.83E-05;0.000366317;;1.893371004;23603.58123;7.58E-05
maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;6240;2;0.0121;0.0881;1.2;0.263;1.621621622;6;0.00153;0.000222;95.03083471;68.10442679;0.907779469;0.000018513;0.000402478;;1.946087882;85871.83812;7.76E-05
maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;14200;2;0.0776;0.00946;1.8;1.15;0.810810811;3;0.000671;0.000319;92.91401045;317.1247357;4.960733766;5.21E-05;0.000773359;;2.655272245;9840.154688;0.000100513
maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;5360;2;0.0248;0.0668;1.8;0.358;1.621621622;6;0.00178;0.000341;92.70166303;89.82035928;1.492496201;0.000044144;0.000637807;;2.811480534;62953.54363;0.000105417
maxon EC ;EC 6 ?6 mm, brushless,1.5 Watt;7900;2;0.0469;0.065;3;0.688;1.621621622;6;0.00121;0.000339;92.48861453;92.30769231;2.080680362;0.000056749;0.000831635;;2.797340638;29335.97058;0.000104975
maxon EC ;EC 6 ?6 mm, brushless,1.5 Watt;3040;2;0.0155;0.436;3;0.188;3.243243243;12;0.00314;0.00033;91.12856915;27.52293578;0.653150446;0.00004867;0.000590549;;2.733562388;205297.1675;0.000102976
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;25800;2;0.209;0.005;3;3.92;0.810810811;3;0.00037;0.000394;94.04986735;600;11.19821414;0.00007733;0.001450901;;3.182099852;2212.852267;0.000116876
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;10800;2;0.0783;0.03;3;1.72;1.621621622;6;0.000882;0.000398;94.62682442;200;3.957271787;6.91E-05;0.001520814;;3.209770348;12394.22038;0.000117722
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;5460;2;0.0398;0.118;3;0.97;3.243243243;12;0.00175;0.00041;94.98221055;101.6949153;2.011829423;0.00006965;0.001696487;;3.292545431;46765.80871;0.000120247
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;6200;2;0.0692;0.039;6;1.98;1.621621622;6;0.00154;0.000977;95.26303051;153.8461538;3.262844441;0.000106568;0.003049614;;6.930579107;10475.24554;0.000223582
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;3770;2;0.046;0.106;6;1.54;3.243243243;12;0.00253;0.000942;95.69328701;113.2075472;2.282005077;0.00011638;0.003900774;;6.717214924;29785.00064;0.000217832
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;1830;2;0.0221;0.447;6;0.755;6.486486486;24;0.00521;0.000944;95.70782143;53.69127517;1.089301235;0.000115141;0.003939737;;6.729437302;125926.2217;0.000218162
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;8340;2;0.16;0.00998;13;10.4;1.621621622;6;0.00115;0.00174;96.75828513;601.2024048;9.807771652;0.000184;0.011907996;;11.36622889;2561.181345;0.000337658
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;5920;2;0.118;0.0198;13;8.05;2.432432432;9;0.00161;0.00163;96.78912149;454.5454545;7.323685113;0.00018998;0.012985108;;10.74747434;5510.779516;0.000322269
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;4500;2;0.0904;0.0342;13;6.46;3.243243243;12;0.00212;0.00162;96.7852832;350.877193;5.631988836;0.000191648;0.013708546;;10.69093344;9639.421939;0.000320856
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;3220;2;0.0673;0.0671;13;5.27;4.864864865;18;0.00297;0.00161;96.78350921;268.2563338;4.248958845;0.000199881;0.015628818;;10.63434265;19086.8295;0.00031944
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;5000;2;0.168;0.021;19;4.08;1.621621622;6;0.00191;0.00223;94.51315294;285.7142857;6.92820323;0.00032088;0.007792226;;14.05977443;4956.496356;0.00040313
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;3520;2;0.121;0.042;19;3.52;2.432432432;9;0.00271;0.00236;94.9763;214.2857143;5.092010549;0.00032791;0.009549297;;14.75945044;9202.240545;0.00041978
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;2380;2;0.0786;0.091;19;2.06;3.243243243;12;0.00401;0.00232;94.68190435;131.8681319;3.219446407;0.000315186;0.008265358;;14.54476615;20646.64474;0.000414685
