,,,description,filename,unit,abbreviation,num_cfs
EF v3.1,eutrophication: terrestrial,accumulated exceedance (AE),,LCIA_Implementation_3.9.xlsx,mol N-Eq,ef-v31ea.adee3b8b785857db474610ba0047cbbf,16
EF v3.1,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31hc.77a0dbe5412ce259b5d1bd3992f46dc1,479
EF v3.1,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31hc.94c6f8dc07777f697a06318e91c8a0a9,96
EF v3.1,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31hc.00159ba9d800c4e53ab6a9ddce13fb85,383
EF v3.1,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31hc.6f73a9f1feeb701a48cce837f6bc0213,2026
EF v3.1,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31hc.29cc12fc6b3243d9c7d9875bb026176f,420
EF v3.1,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31hc.d9b80db5bb1c8da39bcc53ade737565d,1606
EF v3.1,ionising radiation: human health,human exposure efficiency relative to u235,,LCIA_Implementation_3.9.xlsx,kBq U235-Eq,ef-v31ih.c22f21736047064490b9631c7fa2cb34,195
EF v3.1,land use,soil quality index,,LCIA_Implementation_3.9.xlsx,dimensionless,ef-v31ls.e6192af00690c5bc296f45e80359ae4b,155
EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),,LCIA_Implementation_3.9.xlsx,kg Sb-Eq,ef-v31ma.458aa6cb6d9335c9da89015af4afe157,148
EF v3.1,ozone depletion,ozone depletion potential (ODP),,LCIA_Implementation_3.9.xlsx,kg CFC-11-Eq,ef-v31oo.24ecf0ac9220dda9512c1face21d9a36,75
EF v3.1,particulate matter formation,impact on human health,,LCIA_Implementation_3.9.xlsx,disease incidence,ef-v31pi.0cb770785d5846f9cda6a8e070907b1c,27
EF v3.1,photochemical oxidant formation: human health,tropospheric ozone concentration increase,,LCIA_Implementation_3.9.xlsx,kg NMVOC-Eq,ef-v31pt.95555b6153df96f07ec8b068a49d2479,311
EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),,LCIA_Implementation_3.9.xlsx,m3 world eq. deprived,ef-v31wu.c06e898cc1acad11272faed515ba1aab,5
EPS 2020d no LT,emissions to air no LT,monetary impact value no LT,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020d-no-ltem.4577957ce3993b6ef5ecec59165ba067,457
EPS 2020d no LT,emissions to soil no LT,monetary impact value no LT,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020d-no-ltem.b6dfb1b8d550e1df6c5908a654f705f0,181
EPS 2020d no LT,emissions to water no LT,monetary impact value no LT,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020d-no-ltem.26adfb2dd63f5adca3ac6398b38e0ec8,20
EPS 2020d no LT,"energy resources: non-renewable, fossil no LT",monetary impact value no LT,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020d-no-ltem.328f56b21a3556d77f72c81f28b92233,5
EPS 2020d no LT,land use no LT,monetary impact value no LT,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020d-no-ltlm.b214c321fa503026188cb59d42673f4e,40
EPS 2020d no LT,material resources: metals no LT,monetary impact value no LT,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020d-no-ltmm.e3c55689d3e5f84b4e7b39c7e3a2dbcd,163
EPS 2020d no LT,total no LT,monetary impact value no LT,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020d-no-lttm.f0d0a882a6bd9a3dd336a353112641df,866
EPS 2020d,emissions to air,monetary impact value,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020dem.255f6e504266150e51390151efde054a,569
EPS 2020d,emissions to soil,monetary impact value,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020dem.f893031a044b07ca2f81514e13406b04,181
EPS 2020d,emissions to water,monetary impact value,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020dem.b631ce764aeea8eb62bae6c5b7725c01,26
EPS 2020d,"energy resources: non-renewable, fossil",monetary impact value,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020dem.bafd1081b842e05731617a1eff49e68c,5
EPS 2020d,land use,monetary impact value,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020dlm.47149f37732ca197b3c40c8245ce1051,40
EPS 2020d,material resources: metals,monetary impact value,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020dmm.4f9215b17109c9eb624b21492fc054f2,163
EPS 2020d,total,monetary impact value,,LCIA_Implementation_3.9.xlsx,EUR 2018,eps-2020dtm.03af962e76a765029aa255a5fccdba4e,984
IMPACT 2002+ (Endpoint),climate change,climate change,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointcc.f0d6dcda47644cda5050030be792b6fd,175
IMPACT 2002+ (Endpoint),climate change,total,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointct.3f19cdcdf090de2d0b708c8702a20041,175
IMPACT 2002+ (Endpoint),ecosystem quality,aquatic ecotoxicity,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointea.3528f9e611ec6df35c8e02267168eb27,650
IMPACT 2002+ (Endpoint),ecosystem quality,land occupation,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointel.3b415badb76b57adb75dd8bc1a4f3418,30
IMPACT 2002+ (Endpoint),ecosystem quality,terrestrial acidification & nutrification,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointet.1c0f6708cea62a071c2e398e4bb765d4,19
IMPACT 2002+ (Endpoint),ecosystem quality,terrestrial ecotoxicity,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointet.b055ea3aad5eb5431ffe8a1fa7c5843d,636
IMPACT 2002+ (Endpoint),ecosystem quality,total,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointet.111c7ce8cd86bea5380aa3a9a8b86395,695
IMPACT 2002+ (Endpoint),human health,human toxicity,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointhh.ffa523d6335d033ec7ddce66e320038a,607
IMPACT 2002+ (Endpoint),human health,ionising radiation,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointhi.afe994d64357c62b7cede2a5e223466d,150
IMPACT 2002+ (Endpoint),human health,ozone layer depletion,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointho.96c838f8b1e680a3b2fb2cb69f3ec80e,94
IMPACT 2002+ (Endpoint),human health,photochemical oxidation,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointhp.dbc3e58707994c17b05d6cc6b2fd6487,234
IMPACT 2002+ (Endpoint),human health,respiratory effects (inorganics),,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointhr.90b50af31fcbbbed6d447c1421d7c922,28
IMPACT 2002+ (Endpoint),human health,total,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointht.aa7f68ff055e79af3b11fc57781b1395,974
IMPACT 2002+ (Endpoint),resources,mineral extraction,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointrm.2a62e344efd63e7d8a88004ee751eac0,43
IMPACT 2002+ (Endpoint),resources,non-renewable energy,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointrn.f3273f82440331986ebbbfa23a6337ea,7
IMPACT 2002+ (Endpoint),resources,total,,LCIA_Implementation_3.9.xlsx,points,impact-2002-endpointrt.cd2032014f12c2867e487944fdef6041,50
IMPACT 2002+ (Midpoint),ecosystem quality,aquatic acidification,,LCIA_Implementation_3.9.xlsx,kg SO2-Eq,impact-2002-midpointea.bb9825e73c45486ed66f67f980f82fda,42
IMPACT 2002+ (Midpoint),ecosystem quality,aquatic eutrophication,,LCIA_Implementation_3.9.xlsx,kg PO4-Eq,impact-2002-midpointea.579a86138ce6a6996c0cf0dc5c717738,22
IPCC 2013 no LT,climate change no LT,global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2013-no-ltcg.fa193e734b7afee063e964dc40da5d10,167
IPCC 2013 no LT,climate change no LT,global temperature change potential (GTP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2013-no-ltcg.28b959dec3a0a56e127cb4ecc710f788,167
IPCC 2013 no LT,climate change no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2013-no-ltcg.7962c33963a1191f21e7488df1f998cd,167
IPCC 2013 no LT,climate change no LT,global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2013-no-ltcg.ce1fb1bc85e81fb623eab70d3e2dbf87,167
IPCC 2013,climate change,global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2013cg.bd6645f9563344b11278a5f5ce91b738,207
IPCC 2013,climate change,global temperature change potential (GTP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2013cg.7da3269307b445abf2ddf1070fff2794,207
IPCC 2013,climate change,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2013cg.c44286db43e989e224357edf263706ce,207
IPCC 2013,climate change,global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2013cg.5113c3190025c8c9ee99fb76edab1783,207
IPCC 2021 no LT,climate change no LT,global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.e41cc06ec6f7b8f37c927d653cb09e9e,182
IPCC 2021 no LT,climate change no LT,global temperature change potential (GTP50) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.cfd6af4cc2aded5f0e39e733dbdea05e,182
IPCC 2021 no LT,climate change no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.dc34e719fc41ee3be541d4e36e95cfd8,182
IPCC 2021 no LT,climate change no LT,global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.14f35b69b78ce274f1f597afb97e0ff5,182
IPCC 2021 no LT,climate change no LT,global warming potential (GWP500) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.f5801c599a812146709ca388dd5acd86,182
IPCC 2021 no LT,climate change: biogenic no LT,global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.e1dfea1f954939a48accf67f0e2d63c7,4
IPCC 2021 no LT,climate change: biogenic no LT,global temperature change potential (GTP50) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.c911c686fe0dd0ee021026165e29d54f,4
IPCC 2021 no LT,climate change: biogenic no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.348ee7f7e99e16ff411234f48afa05ae,4
IPCC 2021 no LT,climate change: biogenic no LT,global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.aaae2be9ee7651c9236e6ed3b5a3ac9d,4
IPCC 2021 no LT,climate change: biogenic no LT,global warming potential (GWP500) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.9b09a2c35d382debb615c2e05c5db9c2,4
IPCC 2021 no LT,"climate change: biogenic, including SLCFs no LT",global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.afb9acca8c9c723cdf808d96d3ebbe9a,8
IPCC 2021 no LT,"climate change: biogenic, including SLCFs no LT",global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.5a695263b3a57cac0bb2fff4c89c7d60,8
IPCC 2021 no LT,"climate change: biogenic, including SLCFs no LT",global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.7e46ba24f096d63a1d9f31fb806b0638,8
IPCC 2021 no LT,climate change: fossil no LT,global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.dc8cbe72dd6e0f39049d0343089923d9,166
IPCC 2021 no LT,climate change: fossil no LT,global temperature change potential (GTP50) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.625aca60255e183a3b872d8409807a5b,166
IPCC 2021 no LT,climate change: fossil no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.416c178df2cfd4ba2bbb59b36921c2ed,166
IPCC 2021 no LT,climate change: fossil no LT,global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.5aaf07fe8be2e4a61649104241a6e1e0,166
IPCC 2021 no LT,climate change: fossil no LT,global warming potential (GWP500) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.7adcce515a0316f221f2f9146428115d,166
IPCC 2021 no LT,"climate change: fossil, including SLCFs no LT",global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.020a2990fd6f4fab8ba8cd06cb1e695c,172
IPCC 2021 no LT,"climate change: fossil, including SLCFs no LT",global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.3193d049c6e9a855f68d80a9aa3c8a69,172
IPCC 2021 no LT,"climate change: fossil, including SLCFs no LT",global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.12e84c54b519075504a0846b64434f40,172
IPCC 2021 no LT,climate change: including SLCFs no LT,global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.bb434df1bbe3fabf5faa52276112758c,196
IPCC 2021 no LT,climate change: including SLCFs no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.d9b035afe1e3ab26e7ddad34a1c1df66,196
IPCC 2021 no LT,climate change: including SLCFs no LT,global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.009f9f5a431eba0d8247658700f06be6,196
IPCC 2021 no LT,climate change: land use no LT,global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.316e437af00cc290c1d1c1a9a99f1f39,12
IPCC 2021 no LT,climate change: land use no LT,global temperature change potential (GTP50) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.1e47a35349234b6c71118409933d93b0,12
IPCC 2021 no LT,climate change: land use no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.40fba7022367e38214dafd11ad4030c1,12
IPCC 2021 no LT,climate change: land use no LT,global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.f189d45b97142b7201c6108c162e7f89,12
IPCC 2021 no LT,climate change: land use no LT,global warming potential (GWP500) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.21a287501e33679953be2fda500f3ae1,12
IPCC 2021 no LT,"climate change: land use, including SLCFs no LT",global temperature change potential (GTP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.943cc9e984ba1e88ed51e48fffbb2848,16
IPCC 2021 no LT,"climate change: land use, including SLCFs no LT",global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.0b901bb162dea7f282c3ed2899192275,16
IPCC 2021 no LT,"climate change: land use, including SLCFs no LT",global warming potential (GWP20) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021-no-ltcg.b0dcf03b4151a85df212d6d382d7d35b,16
IPCC 2021,climate change,global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.12a79f55a637ff8ebed2e39766dfdc5b,226
IPCC 2021,climate change,global temperature change potential (GTP50),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.73e0916dcb7080b3cb3a37ca502e842e,226
IPCC 2021,climate change,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.7f3bec1f3f63e5211c9815c52a5f928c,226
IPCC 2021,climate change,global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.b3ccb42d23e6035cfd79bc7b56019f8d,226
IPCC 2021,climate change,global warming potential (GWP500),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.c675eb58c914ba81d2cf1f33e2131fe5,226
IPCC 2021,climate change: biogenic,global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.ad282d55d0c45c203ea903a4ec3362bb,5
IPCC 2021,climate change: biogenic,global temperature change potential (GTP50),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.ebb21df3f6ec1f83bf0c5952dfaec029,5
IPCC 2021,climate change: biogenic,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.53430e09e305748933330bd00b612547,5
IPCC 2021,climate change: biogenic,global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.bef6605ce518d3ce23bcb497dfa7e0ee,5
IPCC 2021,climate change: biogenic,global warming potential (GWP500),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.41991af349aa89ed6c0a83145fb485e6,5
IPCC 2021,"climate change: biogenic, including SLCFs",global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.7cfe288acaf65626826328b0ca132f07,10
IPCC 2021,"climate change: biogenic, including SLCFs",global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.9f7ec27db9910054c0528b9ec840f61f,10
IPCC 2021,"climate change: biogenic, including SLCFs",global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.63c435e05dae56c5eebd7bda035a0743,10
IPCC 2021,climate change: fossil,global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.788fe9d31835af49e8e08207170c803a,207
IPCC 2021,climate change: fossil,global temperature change potential (GTP50),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.19e6d5aeabaca876bbb57efa1821280d,207
IPCC 2021,climate change: fossil,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.b7e40ada75432fee257e97a013cc0869,207
IPCC 2021,climate change: fossil,global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.b9e870abe2c4e118cc7f5f02e6446216,207
IPCC 2021,climate change: fossil,global warming potential (GWP500),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.42ad09355ddb1fb681a9b65ada8a626e,207
IPCC 2021,"climate change: fossil, including SLCFs",global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.73213d1e84536f135bf76a19c5460178,214
IPCC 2021,"climate change: fossil, including SLCFs",global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.cf3bb42032224d171f3d623a52d2986f,214
IPCC 2021,"climate change: fossil, including SLCFs",global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.5968b712ba36bc4a298c5e1b36e0e2c1,214
IPCC 2021,climate change: including SLCFs,global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.27eb4e64bcbc2eb97397615b0252f117,243
IPCC 2021,climate change: including SLCFs,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.86cd92fcabe8ce220026e22ca6a19733,243
IPCC 2021,climate change: including SLCFs,global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.7a55ba179884f81593a13ef5d5f39247,243
IPCC 2021,climate change: land use,global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.059f40104ed537f5f26e95372470a097,14
IPCC 2021,climate change: land use,global temperature change potential (GTP50),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.8164294a7add3a803bf78bdabca196f9,14
IPCC 2021,climate change: land use,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.9302b5a601986188b8a084ad84feb860,14
IPCC 2021,climate change: land use,global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.a87a40a1cb8c95d7efe543fa554dfa30,14
IPCC 2021,climate change: land use,global warming potential (GWP500),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.f1b989d33f8d9ae3bd7cc5f61f5932d7,14
IPCC 2021,"climate change: land use, including SLCFs",global temperature change potential (GTP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.c49d968e47bdb93f50b88ac445f9e6b9,19
IPCC 2021,"climate change: land use, including SLCFs",global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.b037fbb21c77feda6da5fe523c2c1ebf,19
IPCC 2021,"climate change: land use, including SLCFs",global warming potential (GWP20),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ipcc-2021cg.bd5908fca218b3fb9bcdb2db54d3f35e,19
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,acidification: terrestrial no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltea.8fe55da06e7fe1fed83ef9abec3ead2a,24
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,climate change: freshwater ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltec.010a3c7eeb3aaaea61d1d48f95945347,131
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,climate change: terrestrial ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltec.44cb5f153f6dc76962bd8131813464ac,131
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: freshwater no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltee.23bd6946e531a7e6e838a094417963bf,1538
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: marine no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltee.d855a7a3bbf7d989c2d8166b3d907895,1538
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,ecotoxicity: terrestrial no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltee.f8bbf6803cd30913caad1f3f31ca2108,1535
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,eutrophication: freshwater no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltee.bcbcd5a7fb70f05b9346102fa4e41da1,11
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,eutrophication: marine no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltee.528b4438bd3da751b6b38a787cdd7ab5,18
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,land use no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltel.c6d3a74f076ca024dda0553ad888eb13,51
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,photochemical oxidant formation: terrestrial ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltep.3f431f818f94f9c20188c0ff7c17b8e6,162
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,water use: aquatic ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltew.3b9c0722eadc240d1ad480b4830b86c8,4
"ReCiPe 2016 v1.03, endpoint (E) no LT",ecosystem quality no LT,water use: terrestrial ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltew.9a87debab9acdec798bed53fb45f364b,4
"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,climate change: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-lthc.f3996676d809868b1ff68af93bffdc69,131
"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,human toxicity: carcinogenic no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-lthh.9beefb83e1bda7fe22bfd0f8ce3ddf40,453
"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,human toxicity: non-carcinogenic no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-lthh.e7303fff6251bf138e144b56239f8340,1034
"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,ionising radiation no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-lthi.58f2614c3f9dc2d249d22d8e603937b8,203
"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,ozone depletion no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-ltho.7fc17468c7611c4093a5132fb461e258,50
"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,particulate matter formation no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-lthp.a4acc2de5455519211cb205d3476aaf5,26
"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,photochemical oxidant formation: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-lthp.802cfbd9faf5f23a11806fdc7920d76a,162
"ReCiPe 2016 v1.03, endpoint (E) no LT",human health no LT,water use: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-lthw.9367e8a2486edc42c7123e27eee3de88,4
