,,,description,filename,unit,abbreviation,num_cfs
Ecological Scarcity 2021 no LT,emissions to air no LT,radioactive substances into air no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-lter.39175a57f51b9671380b1681be3423dc,96
Ecological Scarcity 2021 no LT,emissions to soil no LT,heavy metals into soil no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-lteh.1802903d6f6d565c71e1d4ee29003b80,23
Ecological Scarcity 2021 no LT,emissions to soil no LT,pesticides into soil no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltep.da653e11a8b992ab8120ba967a602772,368
Ecological Scarcity 2021 no LT,emissions to water no LT,heavy metals into water no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-lteh.e65d9c7b6462c7f9c0157e1b822fe475,36
Ecological Scarcity 2021 no LT,emissions to water no LT,POP into water no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltep.ee24bf1f121cdd1bb5b4173308fa5011,32
Ecological Scarcity 2021 no LT,emissions to water no LT,radioactive substances into water no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-lter.82a31674be04442d131327a9338336f0,47
Ecological Scarcity 2021 no LT,emissions to water no LT,water pollutants no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltew.29f7d1bf0b1dd4a05f0cdef4a9d07d20,88
Ecological Scarcity 2021 no LT,energy resources no LT,energy resources no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltee.f6ea1b1c1be48f740530c6fc80c7ab66,12
Ecological Scarcity 2021 no LT,land use no LT,land use no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltll.991821781ef418d2245c22545c13efe3,38
Ecological Scarcity 2021 no LT,mineral resources no LT,mineral resources no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltmm.90ae9634e1695f43c26ea0178b39b908,175
Ecological Scarcity 2021 no LT,natural resources no LT,biotic resources no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltnb.7284df48004455ec0286810a1e673744,2
Ecological Scarcity 2021 no LT,ozone depletion no LT,ozone depletion no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltoo.d4b3b6fc455245ccb8d68c19841a4e83,64
Ecological Scarcity 2021 no LT,total no LT,UBP no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-lttu.015438c50e28a194cbe20e867da8f86b,1519
Ecological Scarcity 2021 no LT,waste disposal no LT,radioactive waste to deposit no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltwr.c886d34dd8757066aeb0edc9b977df73,2
Ecological Scarcity 2021 no LT,waste disposal no LT,"waste, non radioactive no LT",,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltww.d8b7414ecde65be765634f19652cd9ce,3
Ecological Scarcity 2021 no LT,water use no LT,"water resources, evaporated no LT",,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltww.12429b821c53c06459b5802610ff3d60,4
Ecological Scarcity 2021,climate change,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021cg.0191976dad749779438feb5440d77faa,120
Ecological Scarcity 2021,emissions to air,air pollutants and PM,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ea.bf636c0d3448e65da201690b6c6106e1,443
Ecological Scarcity 2021,emissions to air,carcinogenic substances into air,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ec.145782caf869b292a1359aea7d839408,61
Ecological Scarcity 2021,emissions to air,heavy metals into air,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021eh.93e19195e52b84b077f775a2845c3176,40
Ecological Scarcity 2021,emissions to air,radioactive substances into air,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021er.0b570004d4f0ef90b8f6ed6b3061cb62,120
Ecological Scarcity 2021,emissions to soil,heavy metals into soil,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021eh.a233c441da56d1751862745da57de916,23
Ecological Scarcity 2021,emissions to soil,pesticides into soil,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ep.441fb128158bec419a9312ad8328ba42,368
Ecological Scarcity 2021,emissions to water,heavy metals into water,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021eh.83dde213e4aa68455aeb3e040e7f5ffd,36
Ecological Scarcity 2021,emissions to water,POP into water,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ep.16dbecad9be49e55d6c5093a7b30cb21,32
Ecological Scarcity 2021,emissions to water,radioactive substances into water,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021er.13ae49cc0abed41828fffc8ce7447ae0,47
Ecological Scarcity 2021,emissions to water,water pollutants,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ew.a524369d0ec3002615179126e0cac589,88
Ecological Scarcity 2021,energy resources,energy resources,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ee.f87d5afbae43e6ceb531ee1bc367e2f3,12
Ecological Scarcity 2021,land use,land use,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ll.5783051ccc8c379274ade82b39690f98,38
