TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Max_burst_current_A;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Weight_kg;Volume_cm3;Energy_kJ;Capacity_As;n_series;n_parallel
ProLiteX;TP3400-8SPX25;29.6;10200;25;50;170.0;164.7135843;510.0;8235.679214;346735.5728;1.833;870.75;1086.9119999999998;36720.0;1;3
ProLiteX;TP3400-8SPX25L;29.6;10200;25;50;170.0;162.0611916;510.0;8103.059581;332169.3324;1.863;908.934;1086.9119999999998;36720.0;1;3
ProLiteX;TP4000-2SPX25;7.4;12000;25;50;200.0;189.7435897;600.0;9487.179487;372046.2544;0.46799999999999997;238.68;319.68;43200.0;1;3
ProLiteX;TP4000-3SPX25;11.1;12000;25;50;200.0;165.0557621;600.0;8252.788104;398620.9869;0.807;334.152;479.52;43200.0;1;3
ProLiteX;TP4000-4SPX25;14.8;12000;25;50;200.0;166.2921348;600.0;8314.606742;398620.9869;1.068;445.536;639.36;43200.0;1;3
ProLiteX;TP4000-5SPX25;18.5;12000;25;50;200.0;170.1149425;600.0;8505.747126;398620.9869;1.305;556.92;799.1999999999999;43200.0;1;3
ProLiteX;TP4000-6SPX25L;22.2;12000;25;50;200.0;165.6716418;600.0;8283.58209;398620.9869;1.608;668.304;959.04;43200.0;1;3
ProLiteX;TP4000-7SPX25;25.9;12000;25;50;200.0;168.7296417;600.0;8436.482085;398620.9869;1.842;779.6880000000001;1118.8799999999999;43200.0;1;3
ProLiteX;TP4000-8SPX25;29.6;12000;25;50;200.0;168.6609687;600.0;8433.048433;398620.9869;2.106;891.072;1278.72;43200.0;1;3
ProLiteX;TP4000-8SPX25L;29.6;12000;25;50;200.0;166.2921348;600.0;8314.606742;398620.9869;2.136;891.072;1278.72;43200.0;1;3
ProLiteX;TP4000-9SPX25;33.3;12000;25;50;200.0;168.6075949;600.0;8430.379747;405050.3576;2.37;986.5440000000001;1438.56;43200.0;1;3
ProLiteX;TP4000-10SPX25;37.0;12000;25;50;200.0;168.7571266;600.0;8437.856328;398620.9869;2.6310000000000002;1113.84;1598.3999999999999;43200.0;1;3
ProLiteX;TP4000-10SPX25L;37.0;12000;25;50;200.0;166.854566;600.0;8342.728298;398620.9869;2.661;1113.84;1598.3999999999999;43200.0;1;3
ProLiteX;TP4000-6SPX25;22.2;12000;25;50;200.0;165.6716418;600.0;8283.58209;398620.9869;1.608;668.304;959.04;43200.0;1;3
