,models:weight:propulsion:multirotor:battery:mass:reference,mission:sizing:main_route:hover:duration,data:performance:endurance:hover,data:performance:range:cruise,data:propulsion:multirotor:battery:energy,data:weight:mtow,data:weight:propulsion:multirotor:battery:mass,optim_failed
28,0.9444444444444444,16.666666666666668,16.66666666677959,18852.437209826723,3401.9207289280275,21.7634024304257,6.867337669873787,0.0
29,1.0,16.666666666666668,16.666666666652326,19016.765621047212,4032.486724481288,25.909124138420143,8.619076648544185,0.0
30,0.5,20.0,20.00000000104564,21993.66410524963,2535.689203771265,13.347160608540781,2.7099034786037426,0.0
31,0.5555555555555556,20.0,19.999995000393014,22087.994721647807,2708.262205903937,14.281463300965267,3.2159256574481807,0.0
32,0.6111111111111112,20.0,19.999995611529975,22190.536792333045,2915.119049753063,15.403194111894242,3.807713573227149,0.0
33,0.6666666666666666,20.0,20.00000000001262,22304.186005561318,3171.201998968915,16.79438991970882,4.518772156345706,0.0
34,0.7222222222222222,20.0,20.000000000034724,22434.166431800164,3504.4603911448353,18.608652913702322,5.40978243601104,0.0
35,0.7777777777777778,20.0,20.000000000018296,22592.093317862942,3979.2259468939455,21.199876162723115,6.615183975947399,0.0
36,0.8333333333333333,20.0,19.99999998957494,22820.118602837956,4838.9834928278715,25.909121224723243,8.619075621608413,0.0
37,0.8888888888888888,20.0,19.69078474929048,22708.894053542757,6110.766216760203,33.67360402508719,11.609965871284617,1.0
38,0.9444444444444444,20.0,18.532503340014447,21373.063865256394,5751.2319155861815,33.673139470516944,11.609809495628888,1.0
39,1.0,20.0,17.502919862173048,20185.657713202585,5431.63675413738,33.672617045611894,11.609633635429235,1.0
40,0.5,23.333333333333336,23.333333333344864,25827.782265676487,3274.439265474772,14.814818642608572,3.4994092899041287,0.0
41,0.5555555555555556,23.333333333333336,23.333333333356872,25975.622506825064,3592.2218610355153,16.293441951704214,4.265583452357985,0.0
42,0.6111111111111112,23.333333333333336,23.33333333336269,26146.181434360697,4015.217887704363,18.266214526370266,5.244657041286683,0.0
43,0.6666666666666666,23.333333333333336,23.333333333235657,26357.442203517126,4642.430270495842,21.19987615915042,6.615183974692842,0.0
44,0.7222222222222222,23.333333333333336,23.33333332964662,26662.198660635528,5952.886526225667,27.356128407456367,9.18938078299183,0.0
45,0.7777777777777778,23.333333333333336,22.289191308758536,25704.687286039247,6915.386104254241,33.554143494835316,11.496344252595216,1.0
46,0.8333333333333333,23.333333333333336,20.80324541274499,23991.00845940898,6454.16156515231,33.55308485393526,11.49599015714292,1.0
47,0.8888888888888888,23.333333333333336,19.50304264830751,22491.551605094264,6050.663329218063,33.55244225198673,11.495775203800719,1.0
48,0.9444444444444444,23.333333333333336,18.355804891848816,21168.5120988854,5694.699367954925,33.55218521534185,11.495689230973458,1.0
49,1.0,23.333333333333336,17.33603797519776,19992.48422573504,5378.330441597795,33.55220602013507,11.495696200535624,1.0
50,0.5,26.666666666666668,26.66666664859308,29738.914652114494,4228.269324265869,16.794389901690604,4.518772148124497,0.0
51,0.5555555555555556,26.666666666666668,26.666666666149954,29977.01578116126,4855.586238119963,19.356879950303924,5.765765342470004,0.0
52,0.6111111111111112,26.666666666666668,26.666666622236487,30305.555724224887,5956.750051383447,23.872269626729437,7.780676410075123,0.0
53,0.6666666666666666,26.666666666666668,26.22505360524277,30244.672438813683,8138.442648439249,33.66002181242601,11.596791389429296,1.0
54,0.7222222222222222,26.666666666666668,24.20774185114529,27918.114492086333,7512.14120248637,33.65879475011152,11.596378614160818,1.0
55,0.7777777777777778,26.666666666666668,22.478617509975702,25923.925927806617,6975.334908275611,33.657683892346,11.596004933600007,1.0
56,0.8333333333333333,26.666666666666668,20.980043073476317,24195.638942229954,6510.161183144506,33.656882236495775,11.595735267447864,1.0
57,0.8888888888888888,26.666666666666668,19.668790424983637,22683.403317030825,6103.226745391388,33.65660340343082,11.595641480173175,1.0
58,0.9444444444444444,26.666666666666668,18.511802815809492,21349.083099938507,5744.198626489405,33.6565146345223,11.595611642414177,1.0
59,1.0,26.666666666666668,17.483369455052546,20163.018909619263,5425.051340505562,33.65635474212151,11.59555790778693,1.0
60,0.5,30.0,30.00000000202623,33762.57493570875,5575.628989769598,19.76823866266615,5.958702025590778,0.0
61,0.5555555555555556,30.0,30.000000001242483,34230.178164288525,7258.476298449127,25.9091247925391,8.61907687936403,0.0
62,0.6111111111111112,30.0,28.462666280598146,32824.898702046135,8830.674937541635,33.59220101088736,11.534582377787418,1.0
63,0.6666666666666666,30.0,26.090763985064836,30089.471933633315,8094.765312303673,33.592127415868745,11.534553811861874,1.0
64,0.7222222222222222,30.0,24.083782140059846,27774.897169507673,7472.091057511083,33.592127415868745,11.534553811861874,1.0
