TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Energy_J
ProLiteX;TP4400-2SPX25;7.4;4400;25;50;205;220;93568;158.8292683;220;7941.463415;347982.2161;117216
ProLiteX;TP4400-3SPX25;11.1;4400;25;50;306;220;140352;159.6078431;220;7980.392157;347982.2161;175824
ProLiteX;TP4400-4SPX25;14.8;4400;25;50;406;220;187136;160.3940887;220;8019.704433;347982.2161;234432
ProLiteX;TP4400-5SPX25;18.5;4400;25;50;505;220;233920;161.1881188;220;8059.405941;347982.2161;293040
ProLiteX;TP4400-6SPX25;22.2;4400;25;50;601;220;280704;162.5291181;220;8126.455907;347982.2161;351648
ProLiteX;TP4400-7SPX25;25.9;4400;25;50;701;220;321640;162.5677603;220;8128.388017;354309.1655;410256
ProLiteX;TP4400-8SPX25;29.6;4400;25;50;801;220;368424;162.5967541;220;8129.837703;353505.7434;468864
ProLiteX;TP4400-8SPX25L;29.6;4400;25;50;811;220;374272;160.5918619;220;8029.593095;347982.2161;468864
ProLiteX;TP4400-9SPX25;33.3;4400;25;50;902;220;415208;162.4390244;220;8121.95122;352883.3741;527472
ProLiteX;TP4400-10SPX25;37;4400;25;50;994;220;456144;163.7826962;220;8189.134809;356904.8371;586080
ProLiteX;TP5000-2SPX25;7.4;5000;25;50;237;250;111112;156.1181435;250;7805.907173;332997.336;133200
ProLiteX;TP5000-3SPX25;11.1;5000;25;50;349;250;163744;159.025788;250;7951.289398;338943.717;199800
ProLiteX;TP5000-4SPX25;14.8;5000;25;50;465;250;216376;159.1397849;250;7956.989247;341997.264;266400
ProLiteX;TP5000-5SPX25;18.5;5000;25;50;574;250;269008;161.1498258;250;8057.491289;343855.9448;333000
ProLiteX;TP5000-6SPX25L;22.2;5000;25;50;705;250;327488;157.4468085;250;7872.340426;338943.717;399600
ProLiteX;TP5000-7SPX25;25.9;5000;25;50;813;250;374272;159.2865929;250;7964.329643;346005.0445;466200
ProLiteX;TP5000-8SPX25;29.6;5000;25;50;930;250;432752;159.1397849;250;7956.989247;341997.264;532800
ProLiteX;TP5000-8SPX25L;29.6;5000;25;50;940;250;432752;157.4468085;250;7872.340426;341997.264;532800
