;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Volume_mm3
31;7.4;22000;1025;158.8292683;1100.0;7941.463415;467840
32;22.2;22000;3005;162.5291181;1100.0;8126.455907;1403520
33;25.9;22000;3505;162.5677603;1100.0;8128.388017;1608200
34;37.0;22000;4970;163.7826962;1100.0;8189.134809;2280720
35;11.1;25000;1745;159.025788;1250.0;7951.289398;818720
36;14.8;25000;2325;159.1397849;1250.0;7956.989247;1081880
37;18.5;25000;2870;161.1498258;1250.0;8057.491289;1345040
38;33.3;25000;5230;159.1778203;1250.0;7958.891013;2397680
39;37.0;25000;5810;159.2082616;1250.0;7960.413081;2690080
40;37.0;25000;5860;157.8498294;1250.0;7892.491468;2690080
41;11.1;30000;1860;179.0322581;1500.0;8951.612903;884520
42;14.8;30000;2450;181.2244898;1500.0;9061.22449;1146600
43;18.5;30000;3190;173.9811912;1500.0;8699.059561;1408680
44;22.2;30000;3715;179.2732167;1500.0;8963.660834;1703520
45;11.1;34000;2420;155.9504132;1700.0;7797.520661;1127460
46;22.2;34000;4535;166.4388093;1700.0;8321.940463;2225250
47;7.4;40000;1750;169.1428571;2000.0;8457.142857;836780
48;11.1;40000;2630;168.8212928;2000.0;8441.064639;1255170
49;14.8;40000;3505;168.9015692;2000.0;8445.078459;1673560
50;18.5;40000;4295;172.2933644;2000.0;8614.668219;2091950
51;3.7;1625;60;100.2083333;227.5;14029.16667;28125
52;7.4;1625;115;104.5652174;227.5;14639.13043;61875
0;14.8;22200;1440;228.1666667;1998.0;20535.0;903312
1;7.4;3000;180;123.3333333;150.0;6166.666667;85860
2;11.1;3000;264;126.1363636;150.0;6306.818182;124020
3;7.4;4500;234;142.3076923;225.0;7115.384615;122760
4;11.1;4500;342;146.0526316;225.0;7302.631579;184140
5;7.4;5460;282;143.2765957;273.0;7163.829787;138450
6;7.4;8100;366;163.7704918;405.0;8188.52459;180336
7;11.1;8100;564;159.4148936;405.0;7970.744681;277440
8;7.4;8100;384;156.09375;405.0;7804.6875;180336
9;11.1;8100;570;157.7368421;405.0;7886.842105;277440
10;11.1;13200;906;161.7218543;660.0;8086.092715;449820
11;14.8;13200;1182;165.2791878;660.0;8263.959391;578340
12;7.4;16800;738;168.4552846;840.0;8422.764228;353736
13;11.1;16800;1086;171.7127072;840.0;8585.635359;499392
14;11.1;16800;1086;171.7127072;840.0;8585.635359;499392
15;11.1;16800;1086;171.7127072;840.0;8585.635359;499392
16;14.8;16800;1404;177.0940171;840.0;8854.700855;665856
17;22.2;16800;2106;177.0940171;840.0;8854.700855;998784
18;22.2;20400;2868;157.9079498;1020.0;7895.39749;1323540
19;22.2;20400;2928;154.6721311;1020.0;7733.606557;1328442
20;29.6;20400;3666;164.7135843;1020.0;8235.679214;1741500
21;7.4;24000;936;189.7435897;1200.0;9487.179487;477360
22;18.5;24000;2610;170.1149425;1200.0;8505.747126;1113840
23;22.2;24000;3216;165.6716418;1200.0;8283.58209;1336608
24;25.9;24000;3684;168.7296417;1200.0;8436.482085;1559376
25;29.6;24000;4212;168.6609687;1200.0;8433.048433;1782144
